research_id,research_variant_id,parameter_set_id,advisory_status,context_window_grid_scope_id,analysis_scope_id,window_sessions_requested,auto_pre_signal_context,auto_context_filter_result,sample_count,unique_events,win_count,neutral_count,loss_count,other_count,pure_win_rate_pct,neutral_inclusive_success_rate_pct,positive_return_rate_pct,avg_return_pct,median_return_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,30,bearish,auto_bearish,10,10,4,0,6,0,40.0000,40.0000,40.0000,0.9405,-4.0244,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,30,sideways_or_consolidation,auto_non_bearish,125,125,42,26,57,0,42.4242,54.4000,57.6000,1.0954,2.7322,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,30,slow_uptrend,auto_non_bearish,219,219,95,45,79,0,54.5977,63.9269,63.0137,2.4635,3.3557,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,30,volatile_mixed,auto_non_bearish,20,20,6,4,10,0,37.5000,50.0000,55.0000,-0.7934,1.0762,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,45,bearish,auto_bearish,13,13,3,2,8,0,27.2727,38.4615,46.1538,-1.0419,-4.7154,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,45,sideways_or_consolidation,auto_non_bearish,121,121,40,27,54,0,42.5532,55.3719,57.8512,1.2524,2.7157,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,45,slow_uptrend,auto_non_bearish,205,205,89,39,77,0,53.6145,62.4390,63.4146,2.3306,3.3557,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,45,volatile_mixed,auto_non_bearish,35,35,15,7,13,0,53.5714,62.8571,54.2857,1.5489,2.8605,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,60,bearish,auto_bearish,28,28,7,8,13,0,35.0000,53.5714,50.0000,-0.0085,0.1804,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,all_retest_entries,60,sideways_or_consolidation,auto_non_bearish,86,86,24,19,43,0,35.8209,50.0000,53.4884,0.5881,1.1812,false,not_production_ready_research_only,2026-06-29 02:10:26 Asia/Taipei
