model_id,confirmation_model_id,overlay_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,stock_id,stock_name,signal_date,comparison_status,selected_event_set_id,outcome_bucket,category_id,category_folder,chart_path,chart_path_absolute,baseline_present,variant_present,baseline_left_peak_date,variant_left_peak_date,baseline_left_low_date,variant_left_low_date,baseline_neckline_date,variant_neckline_date,baseline_right_low_date,variant_right_low_date,baseline_breakout_date,variant_breakout_date,baseline_signal_close,variant_signal_close,baseline_neckline_price,variant_neckline_price,baseline_a_mature,variant_a_mature,baseline_a_return_pct,variant_a_return_pct,baseline_tdcc_any_age7,variant_tdcc_any_age7,variant_left_anchor_rule_id,variant_left_anchor_rule_reason,manual_review_status,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,1102,亞泥,20260105,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260105_1102_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260105_1102_06.png,true,false,20251001,,20251105,,20251203,,20251230,,,,37.8,,39.4,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,2033,佳大,20260105,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260105_2033_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260105_2033_06.png,true,false,20250725,,20250801,,20251001,,20251105,,,,15.8,,22.45,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,2347,聯強,20260106,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260106_2347_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260106_2347_06.png,true,false,20250724,,20250820,,20250829,,20251119,,,,61.1,,71.2,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,9937,全國,20260106,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260106_9937_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260106_9937_06.png,true,false,20250827,,20251105,,20251218,,20251226,,,,58.0,,61.0,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,2017,官田鋼,20260108,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260108_2017_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260108_2017_06.png,true,false,20250820,,20251105,,20251113,,20260105,,,,9.0,,9.06,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,6592,和潤企業,20260108,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260108_6592_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260108_6592_06.png,true,false,20250905,,20251105,,20251124,,20260105,,,,61.0,,64.7,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,8374,羅昇,20260108,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260108_8374_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260108_8374_06.png,true,false,20250909,,20251119,,20251205,,20251218,,,,85.1,,91.6,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,3022,威強電,20260109,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260109_3022_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260109_3022_06.png,true,false,20251022,,20251121,,20251222,,20260105,,,,65.1,,69.9,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,1310,台苯,20260112,baseline_only,baseline,pending_or_no_breakout,baseline_only_pending_or_no_breakout,06_b_pending,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/06_b_pending/20260112_1310_06.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\06_b_pending\20260112_1310_06.png,true,false,20251027,,20251105,,20251202,,20251226,,,,8.75,,9.98,,false,false,,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_nearest_micro_anchor_chart_review,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_nearest_micro_anchor_chart_review_20260625,warning_research_variant_only,4919,新唐,20260112,baseline_only,baseline,loss,baseline_only_loss,05_b_loss,output/latest/research_backtest/w_bottom_nm_anchor_chart_review/05_b_loss/20260112_4919_05.png,C:\Users\p4693\Documents\Codex\projects\taiwan-stock-recommendation\research\tdcc-research-backtest\output\latest\research_backtest\w_bottom_nm_anchor_chart_review\05_b_loss\20260112_4919_05.png,true,false,20250909,,20251119,,20251210,,20251230,,20260119,,55.0,,54.5,,true,false,-0.6711,,false,,,,pending_user_shape_review,false,not_production_ready_research_only,2026-06-25 15:03:28 Asia/Taipei
