research_id,artifact_version,source_research_id,source_artifact_version,semantic_source_research_id,semantic_source_artifact_version,advisory_status,model_id,row_type,slice_family,slice_id,slice_label,basis,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,min_return_pct,max_return_pct,trim_sample_size,trim_avg_return_pct,trim_median_return_pct,top20_count,bottom20_count,top20_share_pct,bottom20_share_pct,top_minus_bottom_share_pct,overall_share_pct,high_return_share_pct,low_return_share_pct,high_minus_low_share_pct,numeric_overall_median,numeric_top20_median,numeric_bottom20_median,numeric_top_minus_bottom_median,sample_status,decision_hint,value_a,value_b,value_c,note,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,baseline,baseline_all_v2_raw_events,all 60d breakout + next-day continuation events,all 808 raw-market v2 mature events,811,100.0,425.0,4.0,382.0,52.4,0.49,47.1,4.9629,1.3359,-14.7541,29.2017,-29.3651,91.0714,793.0,4.4842,1.3359,163.0,163.0,20.1,20.1,0.0,,,,,,,,,reviewable_sample,baseline_reference,,,,baseline for this research-only feature analysis,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,low_base_proxy,off60_le50_range60_le45,off 60d low <=50% and 60d range <=45%,low-base proxy,373,45.99,180.0,2.0,191.0,48.26,0.54,51.21,2.9808,-0.8671,-13.0727,23.816,-24.5464,68.1818,365.0,2.6304,-0.8671,60.0,64.0,16.09,17.16,-1.07,,,,,,,,,reviewable_sample,possible_risk_tag_or_deduct_candidate_research_only,,,,tests whether the user's low-base intuition improves payoff,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,low_base_proxy,off60_le40_range60_le35,off 60d low <=40% and 60d range <=35%,strict low-base proxy,248,30.58,108.0,2.0,138.0,43.55,0.81,55.65,2.1898,-2.1009,-13.6884,22.4048,-24.5464,68.1818,242.0,1.7421,-2.1009,41.0,46.0,16.53,18.55,-2.02,,,,,,,,,thin_but_reviewable_sample,possible_risk_tag_or_deduct_candidate_research_only,,,,stricter low-base proxy; sample shrink must be reviewed,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,low_base_proxy,off60_gt75_or_range60_gt60,off 60d low >75% or 60d range >60%,extended/high-base proxy,258,31.81,141.0,1.0,116.0,54.65,0.39,44.96,5.9121,2.5711,-17.236,34.5243,-29.3651,81.8182,252.0,5.4268,2.5711,61.0,65.0,23.64,25.19,-1.55,,,,,,,,,thin_but_reviewable_sample,mixed_or_weak_difference_research_only,,,,diagnoses high-extension or wide-base risk,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,range_width,range60_le35_narrow,60d range width <=35%,narrow 60d consolidation proxy,296,36.5,128.0,2.0,166.0,43.24,0.68,56.08,2.3505,-2.0071,-13.2848,23.3978,-24.5464,68.1818,290.0,1.9802,-2.0071,49.0,55.0,16.55,18.58,-2.03,,,,,,,,,thin_but_reviewable_sample,possible_risk_tag_or_deduct_candidate_research_only,,,,tests narrow base independently from off-low position,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,range_width,range60_gt60_very_wide,60d range width >60%,wide 60d base risk proxy,256,31.57,139.0,1.0,116.0,54.3,0.39,45.31,5.9183,2.4188,-17.241,34.5776,-29.3651,81.8182,250.0,5.4293,2.4188,61.0,65.0,23.83,25.39,-1.56,,,,,,,,,thin_but_reviewable_sample,mixed_or_weak_difference_research_only,,,,wide range can mean volatility rather than constructive consolidation,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,range_width,range20_le15_tight,20d range width <=15%,tight recent consolidation proxy,127,15.66,55.0,0.0,72.0,43.31,0.0,56.69,1.8046,-2.1739,-14.508,20.7064,-24.5464,73.1415,123.0,1.0889,-2.1739,20.0,23.0,15.75,18.11,-2.36,,,,,,,,,thin_but_reviewable_sample,possible_risk_tag_or_deduct_candidate_research_only,,,,tests whether the most recent base is tight,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,range_width,range20_gt25_wide,20d range width >25%,wide recent range risk proxy,509,62.76,283.0,1.0,225.0,55.6,0.2,44.2,6.2162,2.7419,-16.1445,33.3077,-29.3651,81.8182,497.0,5.7462,2.7419,117.0,113.0,22.99,22.2,0.79,,,,,,,,,reviewable_sample,possible_positive_gate_or_score_candidate_research_only,,,,diagnoses loose recent action,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,consolidation,consolidated_any,short or long consolidation label,existing consolidation_type label,268,33.05,123.0,3.0,142.0,45.9,1.12,52.99,2.6086,-1.2586,-12.9998,21.857,-24.5464,73.1415,262.0,2.1642,-1.2586,42.0,45.0,15.67,16.79,-1.12,,,,,,,,,thin_but_reviewable_sample,possible_risk_tag_or_deduct_candidate_research_only,,,,tests existing consolidation classifier,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,consolidation,non_consolidation,non-consolidation label,existing consolidation_type label,543,66.95,302.0,1.0,240.0,55.62,0.18,44.2,6.125,2.4691,-15.816,32.7181,-29.3651,91.0714,531.0,5.647,2.4691,121.0,118.0,22.28,21.73,0.55,,,,,,,,,reviewable_sample,possible_positive_gate_or_score_candidate_research_only,,,,diagnoses breakouts without a base,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
volume_range_breakout_v2_feature_slice_analysis,volume_range_breakout_v2_feature_slice_analysis_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,performance_slice,limit_up,locked_limit_up,locked limit-up like signal,limit_up_like=True or attack_method=locked_limit_up,602,74.23,322.0,3.0,277.0,53.49,0.5,46.01,5.4259,1.8198,-14.9735,31.9859,-29.3651,91.0714,588.0,4.931,1.8198,130.0,129.0,21.59,21.43,0.16,,,,,,,,,reviewable_sample,mixed_or_weak_difference_research_only,,,,tests lock-limit behavior separately,False,not_production_ready_research_only,2026-07-09 18:51:36 Asia/Taipei
