generated_at,feature_column,feature_family,feature_scope,allowed_use,model_specific_owner,point_in_time_rule
2026-07-01 20:13:41 Asia/Taipei,generated_at,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,feature_panel_id,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,feature_scope,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,stock_id,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,stock_name,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,signal_date,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,source_model_ids,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,source_snapshot_dates,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,source_snapshot_files,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,source_signal_rows,metadata,metadata,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,feature_as_of_date,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,price_history_max_date,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,price_history_rows_as_of,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,future_price_rows_ignored,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,point_in_time_status,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,open,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,high,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,low,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,close,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
2026-07-01 20:13:41 Asia/Taipei,volume,price_ohlcv,shared_objective_point_in_time,research_background_only_not_a_model_gate_or_score,,use rows available on or before signal_date
