research_id,research_variant_id,parameter_set_id,advisory_status,follow_through_scope_id,rule_id,rule_type,max_window_sessions,min_follow_through_pct,accepted_count,rejected_count,unavailable_count,accepted_win_count,accepted_neutral_count,accepted_loss_count,rejected_win_count,rejected_neutral_count,rejected_loss_count,accepted_pure_win_rate_pct,accepted_neutral_inclusive_success_rate_pct,accepted_avg_return_pct,rejected_avg_return_pct,loss_rejection_rate_pct,success_or_neutral_rejection_rate_pct,interpretation,approved_for_daily,production_readiness,generated_at
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_1pct_within_1_sessions,diagnostic_future_known_filter_not_original_entry_rule,1,1.0000,19,28,1,12,5,2,15,5,8,85.7143,89.4737,7.5569,4.2431,80.0000,54.0541,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_2pct_within_1_sessions,diagnostic_future_known_filter_not_original_entry_rule,1,2.0000,15,32,1,9,4,2,18,6,8,81.8182,86.6667,7.0981,4.8724,80.0000,64.8649,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_3pct_within_1_sessions,diagnostic_future_known_filter_not_original_entry_rule,1,3.0000,11,36,1,7,3,1,20,7,9,87.5000,90.9091,8.9018,4.5685,90.0000,72.9730,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_5pct_within_1_sessions,diagnostic_future_known_filter_not_original_entry_rule,1,5.0000,6,41,1,3,3,0,24,7,10,100.0000,100.0000,8.6235,5.1377,100.0000,83.7838,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_1pct_within_2_sessions,diagnostic_future_known_filter_not_original_entry_rule,2,1.0000,30,17,1,19,9,2,8,1,8,90.4762,93.3333,8.4146,0.5852,80.0000,24.3243,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_2pct_within_2_sessions,diagnostic_future_known_filter_not_original_entry_rule,2,2.0000,23,24,1,14,7,2,13,3,8,87.5000,91.3043,7.4628,3.7810,80.0000,43.2432,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_3pct_within_2_sessions,diagnostic_future_known_filter_not_original_entry_rule,2,3.0000,21,26,1,13,7,1,14,3,9,92.8571,95.2381,8.5161,3.2135,90.0000,45.9459,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_5pct_within_2_sessions,diagnostic_future_known_filter_not_original_entry_rule,2,5.0000,16,31,1,9,7,0,18,3,10,100.0000,100.0000,8.5632,4.0444,100.0000,56.7568,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_1pct_within_3_sessions,diagnostic_future_known_filter_not_original_entry_rule,3,1.0000,32,15,1,20,10,2,7,0,8,90.9091,93.7500,8.3152,-0.2466,80.0000,18.9189,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
structured_neckline_strict_45_90_follow_through_audit,warning_research_variant_only,structured_neckline_strict_45_90_follow_through_audit_20260629,warning_research_variant_only,post_entry_close_follow_through_diagnostic_grid,max_close_ge_2pct_within_3_sessions,diagnostic_future_known_filter_not_original_entry_rule,3,2.0000,27,20,1,17,8,2,10,2,8,89.4737,92.5926,8.1133,2.1665,80.0000,32.4324,use_as_confirmation_entry_hypothesis_or_risk_label_only,false,not_production_ready_research_only,2026-06-29 03:30:15 Asia/Taipei
