model_id,confirmation_model_id,overlay_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,event_set_id,entry_timing_id,condition_set_id,condition_set_description,sample_size,mature_sample_size,win_count,win_rate_pct,avg_return_pct,median_return_pct,baseline_sample_size,baseline_mature_sample_size,baseline_win_rate_pct,baseline_avg_return_pct,baseline_median_return_pct,delta_sample_size_vs_baseline,delta_mature_sample_size_vs_baseline,sample_retention_rate_pct,delta_win_rate_pct_vs_baseline,delta_avg_return_pct_vs_baseline,delta_median_return_pct_vs_baseline,breakout_signal_count,post_confirmation_count,tdcc_any_age7_count,tdcc_any_age14_count,core_mainstream_count,hot_theme_count,bottom_quartile_count,low_level_count,mid_level_count,high_level_count,wv_multiple_turn_count,sharp_v_count,slope_break_count,smooth_count,avg_price_position_252_pct,median_price_position_252_pct,sample_warning,research_interpretation,revenue_catalyst_feature_status,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,all_dedup_signals,All deduplicated W-bottom event signals.,1924,201,59,29.3532,0.1555,-2.7607,1924,201,29.3532,0.1555,-2.7607,0,0,100.0000,0.0000,0.0000,0.0000,205,142,3,3,944,120,1240,618,66,0,1120,169,387,241,22.1657,20.0096,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,all_dedup_signals,All deduplicated W-bottom event signals.,1684,203,79,38.9163,1.6483,-1.5674,1924,201,29.3532,0.1555,-2.7607,-240,2,87.5260,9.5630,1.4928,1.1933,209,150,3,4,910,122,1092,534,58,0,889,178,332,285,21.9406,19.5061,medium_mature_sample_research_only,directionally_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,price_position_le_40,Signal close is in the lower 40% of the 252-day low/high range.,1726,171,50,29.2398,0.1102,-2.7607,1726,171,29.2398,0.1102,-2.7607,0,0,100.0000,0.0000,0.0000,0.0000,175,121,3,3,839,100,1240,486,0,0,1010,153,343,216,19.1164,18.4473,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,price_position_le_40,Signal close is in the lower 40% of the 252-day low/high range.,1510,178,70,39.3258,1.6215,-1.6242,1726,171,29.2398,0.1102,-2.7607,-216,7,87.4855,10.0861,1.5113,1.1365,184,133,3,3,795,99,1092,418,0,0,790,164,296,260,18.8533,17.9025,medium_mature_sample_research_only,directionally_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,bottom_quartile_level,Signal close is in the bottom quartile of the 252-day low/high range.,1240,124,41,33.0645,1.2177,-1.8748,1240,124,33.0645,1.2177,-1.8748,0,0,100.0000,0.0000,0.0000,0.0000,126,92,3,3,600,61,1240,0,0,0,722,108,259,148,14.3241,14.4600,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,bottom_quartile_level,Signal close is in the bottom quartile of the 252-day low/high range.,1092,128,52,40.6250,2.1595,-1.6242,1240,124,33.0645,1.2177,-1.8748,-148,4,88.0645,7.5605,0.9418,0.2506,132,100,3,3,569,65,1092,0,0,0,561,115,214,202,14.0042,13.9084,medium_mature_sample_research_only,directionally_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,bottom_or_low_level,Signal close is bottom-quartile or low-level.,1858,192,56,29.1667,0.1690,-2.7619,1858,192,29.1667,0.1690,-2.7619,0,0,100.0000,0.0000,0.0000,0.0000,196,135,3,3,905,112,1240,618,0,0,1089,163,371,229,20.9337,19.3954,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,bottom_or_low_level,Signal close is bottom-quartile or low-level.,1626,193,76,39.3782,1.7505,-1.5748,1858,192,29.1667,0.1690,-2.7619,-232,1,87.5135,10.2116,1.5814,1.1871,199,143,3,3,865,108,1092,534,0,0,858,172,319,277,20.6828,19.0476,medium_mature_sample_research_only,directionally_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,baseline_current_detector,a_next_open_after_neckline_breakout,core_mainstream,Taxonomy segment is core_mainstream.,944,111,41,36.9369,0.9043,-1.9640,944,111,36.9369,0.9043,-1.9640,0,0,100.0000,0.0000,0.0000,0.0000,113,83,0,0,944,115,600,305,39,0,597,89,158,93,22.5659,20.5221,medium_mature_sample_research_only,baseline_reference,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,tdcc_weekly_ranking_formula,w_bottom_combined_condition_backtest,w_bottom_nearest_micro_anchor_event_replay,warning_research_variant_only,w_bottom_combined_condition_backtest_20260626,warning_research_variant_only,variant_nearest_micro_45d_event_replay,a_next_open_after_neckline_breakout,core_mainstream,Taxonomy segment is core_mainstream.,910,131,60,45.8015,2.4796,0.0000,944,111,36.9369,0.9043,-1.9640,-34,20,96.3983,8.8646,1.5754,1.9640,135,100,0,1,910,118,569,296,45,0,504,86,167,153,22.9906,20.6838,medium_mature_sample_research_only,directionally_better_than_baseline_same_condition,pending_historical_feature_join_not_evaluated,false,not_production_ready_research_only,2026-06-26 21:10:07 Asia/Taipei
