research_id,research_variant_id,parameter_set_id,advisory_status,context_window_grid_scope_id,manual_label_scope_id,window_sessions_requested,alignment_scope_id,manual_classifier_alignment,label_rows,unique_events,manual_good_rows,manual_bad_rows,manual_conflict_rows,manual_good_false_negative_rows,manual_bad_false_positive_rows,manual_good_false_negative_rate_pct,manual_bad_false_positive_rate_pct,avg_return_pct,median_return_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,30,window_total,all_manual_labels,11,11,9,1,1,2,1,22.2222,100.0000,13.2893,11.4613,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,30,window_non_conflict_total,manual_non_conflict_total,10,10,9,1,0,2,1,22.2222,100.0000,13.6046,11.7560,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,30,window_non_conflict_by_alignment,manual_bad_auto_non_bearish_false_positive,1,1,0,1,0,0,1,,100.0000,10.1517,10.1517,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,30,window_non_conflict_by_alignment,manual_good_auto_bearish_false_negative,2,2,2,0,0,2,0,100.0000,,15.5015,15.5015,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,30,window_non_conflict_by_alignment,manual_good_auto_non_bearish_match,7,7,7,0,0,0,0,0.0000,,13.5558,12.0507,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,30,window_conflict_total,manual_label_conflict_not_scored,1,1,0,0,1,0,0,,,10.1365,10.1365,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,45,window_total,all_manual_labels,11,11,9,1,1,1,0,11.1111,0.0000,13.2893,11.4613,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,45,window_non_conflict_total,manual_non_conflict_total,10,10,9,1,0,1,0,11.1111,0.0000,13.6046,11.7560,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,45,window_non_conflict_by_alignment,manual_bad_auto_bearish_match,1,1,0,1,0,0,0,,0.0000,10.1517,10.1517,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
structured_neckline_context_window_grid_audit,warning_research_variant_only,structured_neckline_context_window_grid_audit_20260629,warning_research_variant_only,pre_signal_context_window_grid_30_45_60_90,user_good_bad_chart_folder_labels,45,window_non_conflict_by_alignment,manual_good_auto_bearish_false_negative,1,1,1,0,0,1,0,100.0000,,20.3463,20.3463,false,not_production_ready_research_only,2026-06-29 02:10:27 Asia/Taipei
