research_id,artifact_version,model_id,scenario_id,horizon_trading_days_after_signal,group_kind,group_value,group_overlap_policy,evidence_role,source_status,signal_event_count,valid_return_count,pending_or_invalid_count,right_censored_count,non_right_censored_invalid_count,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,average_return_pct,median_return_pct,minimum_return_pct,maximum_return_pct,high_return_threshold_pct,high_return_hit_count,high_return_hit_rate_pct,anomaly_candidate_count,unresolved_anomaly_candidate_count,same_stock_overlap_candidate_count,primary_metric_retains_unresolved_candidates,candidate_exclusion_sensitivity_valid_return_count,candidate_exclusion_sensitivity_excluded_candidate_count,candidate_exclusion_sensitivity_win_rate_pct,candidate_exclusion_sensitivity_average_return_pct,candidate_exclusion_sensitivity_median_return_pct,sensitivity_is_corrected_primary,sample_status,entry_rule_id,exit_rule_id,stop_rule_id,pit_replay_status,formal_operation_contract_defined,formal_use,approved_for_daily,production_selector_change,promotion_eligible,promotion_blocked,promotion_block_reason
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,chronological_third,early,mutually_exclusive_by_signal_date,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,100,100,0,0,0,74,1,25,74.0,1.0,25.0,10.540477104517441,7.394945636203354,-24.393063583815035,59.442332065906214,10.0,42,42.0,22,22,25,True,78,22,67.94871794871796,3.6931335211829013,4.755931961120641,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,chronological_third,middle,mutually_exclusive_by_signal_date,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,151,151,0,0,0,52,3,96,34.437086092715234,1.9867549668874174,63.576158940397356,-3.9654301689318086,-5.35714285714286,-42.602739726027394,50.222222222222214,10.0,26,17.218543046357617,34,34,31,True,117,34,33.33333333333333,-3.7980830325985933,-4.93150684931507,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,chronological_third,recent,mutually_exclusive_by_signal_date,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,84,43,41,41,0,21,0,22,48.837209302325576,0.0,51.162790697674424,0.2625683688039062,-0.38022813688213253,-41.41414141414141,35.40372670807452,10.0,9,20.930232558139537,10,10,15,True,33,10,42.42424242424242,-2.437677862012229,-0.9384775808133572,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,market_regime,correction,mutually_exclusive_source_label,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,29,29,0,0,0,8,1,20,27.586206896551722,3.4482758620689653,68.96551724137932,-6.4337699374513795,-8.146067415730329,-37.5609756097561,33.38735818476497,10.0,6,20.689655172413794,9,9,2,True,20,9,30.0,-3.0672257494005044,-5.186878037491322,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,market_regime,high_risk,mutually_exclusive_source_label,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,15,15,0,0,0,4,0,11,26.666666666666668,0.0,73.33333333333333,-8.260763878737373,-8.398950131233596,-41.41414141414141,20.99056603773586,10.0,2,13.333333333333334,5,5,5,True,10,5,20.0,-7.858880251631301,-7.545931758530183,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,market_regime,mild_bull,mutually_exclusive_source_label,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,31,23,8,8,0,3,0,20,13.043478260869565,0.0,86.95652173913044,-16.635433093281296,-17.676348547717847,-42.602739726027394,7.560975609756104,10.0,0,0.0,10,10,6,True,13,10,23.076923076923077,-6.677557237505334,-8.771929824561408,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,market_regime,range_bound,mutually_exclusive_source_label,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,24,9,15,15,0,6,0,3,66.66666666666666,0.0,33.33333333333333,4.6411097512109345,2.0599250936329527,-13.754646840148698,30.107526881720425,10.0,2,22.22222222222222,2,2,5,True,7,2,57.14285714285714,-1.7314729509146491,1.6518424396442244,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,market_regime,strong_bull,mutually_exclusive_source_label,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,236,218,18,18,0,126,3,89,57.798165137614674,1.3761467889908259,40.825688073394495,5.127953919969407,2.6126874382688348,-28.05255023183927,59.442332065906214,10.0,67,30.73394495412844,40,40,53,True,178,40,51.12359550561798,0.01183821707933874,0.6491656491656506,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,overall_union,all,deduplicated_signal_date_stock_union,primary_exact_union_replay,canonical_sources_replayed_with_PIT_blocker,335,294,41,41,0,147,4,143,50.0,1.3605442176870748,48.63945578231292,1.5869326353796225,0.17301038062284002,-42.602739726027394,59.442332065906214,10.0,77,26.190476190476193,66,66,71,True,228,66,46.49122807017544,-1.0383976737200558,-0.7423025603585043,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
tdcc_short_term_continuation_d5_d10_exact_edge_replay,tdcc_short_term_continuation_d5_d10_research_v1,tdcc_short_term_continuation_d5_d10,fixed_d10_close,10,published_snapshot_supplementary,all_target_published_rows,daily_published_rows_not_selector_union_events,supplementary_published_snapshot,present_supplementary_unverified_selector_population,294,72,222,0,222,36,1,35,50.0,1.3888888888888888,48.61111111111111,-0.08055277777777785,0.07585,-25.2222,35.2034,10.0,15,20.833333333333336,12,12,0,False,60,12,48.333333333333336,-1.3906416666666668,-0.7702,False,descriptive_only,signal_close_confirmed_next_trading_day_open,signal_dplus_10_close,none_fixed_horizon_research,blocked_no_event_time_immutable_signal_packet,False,False,False,False,False,True,PIT_event_time_lineage_missing|formal_operation_contract_undefined|unresolved_anomaly_candidates_block_when_present
