generated_at,model_id,model_name_zh,research_artifact_id,artifact_version,row_type,anomaly_exclusion_basis,decision_basis,confirmation_variant_id,confirmation_variant_name_zh,pending_window_days,exit_clock_id,source_signal_count,source_known_anomaly_count,accepted_trade_count_before_path_exclusion,price_path_anomaly_count,metric_sample_count,max_realized_return_pct,max_return_stock_id,max_return_signal_date,min_realized_return_pct,min_return_stock_id,min_return_signal_date,return_abs_ge80_count,top1_abs_return_share_pct,top5_abs_return_share_pct,trimmed_1pct_avg_return_pct,potential_return_dominance_flag,interpretation_status,approved_for_daily,production_change
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,control_baseline,including_known_anomalies,False,signal_close_control,訊號日直接進場對照組,0,signal_d20_close,81017,11445,4750,7,4750,220.1893,4414,20250609,-91.0164,4763,20250609,32,0.4327,1.537,2.4218,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,next_day_close_continuation,隔日續強確認型,1,signal_d20_close,81017,11445,4264,7,4264,210.3976,4414,20250609,-90.8508,4763,20250613,22,0.4739,1.7952,2.2745,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,next_day_close_continuation,隔日續強確認型,1,confirmation_d20_close,81017,11445,4079,7,4079,224.159,4414,20250609,-90.9613,4763,20250613,26,0.5082,1.8167,2.4805,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,range23_highest_close_breakout,區間突破確認型,3,signal_d20_close,81017,11445,1750,1,1750,139.1048,6658,20260417,-40.6061,6727,20260519,12,0.6617,2.757,2.9373,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,range23_highest_close_breakout,區間突破確認型,3,confirmation_d20_close,81017,11445,1702,1,1702,117.3077,6949,20250710,-40.676,2540,20250902,14,0.542,2.4732,3.4964,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,range23_highest_close_breakout,區間突破確認型,5,signal_d20_close,81017,11445,1875,1,1875,139.1048,6658,20260417,-40.6061,6727,20260519,12,0.6159,2.5825,3.0591,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,range23_highest_close_breakout,區間突破確認型,5,confirmation_d20_close,81017,11445,1809,1,1809,220.603,5386,20260123,-40.676,2540,20250901,12,0.9468,2.8165,3.3997,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,range23_highest_close_breakout,區間突破確認型,10,signal_d20_close,81017,11445,1997,2,1997,139.1048,6658,20260417,-49.3438,8932,20260121,8,0.6171,2.3683,2.4661,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,range23_highest_close_breakout,區間突破確認型,10,confirmation_d20_close,81017,11445,1863,2,1863,220.603,5386,20260122,-51.706,8932,20260121,16,0.9027,2.6198,3.4273,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,ma20_ema23_close_reclaim,均線站回確認型,3,signal_d20_close,81017,11445,3546,6,3546,239.3939,4414,20250613,-90.967,4763,20250609,19,0.6102,2.1154,2.5476,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,ma20_ema23_close_reclaim,均線站回確認型,3,confirmation_d20_close,81017,11445,3400,6,3400,251.5152,4414,20250613,-90.9451,4763,20250609,24,0.6414,2.0043,2.6341,False,not_decision_basis_known_anomalies_included,False,none
2026-07-12 17:04:22 Asia/Taipei,revenue_unreacted_range,營收爆發但股價尚未反應模型,revenue_unreacted_range_close_confirmation_timing_audit,close_confirmation_timing_v1,variant_performance,including_known_anomalies,False,ma20_ema23_close_reclaim,均線站回確認型,5,signal_d20_close,81017,11445,3648,5,3648,207.5758,4414,20250609,-90.967,4763,20250609,19,0.5267,1.9177,2.3157,False,not_decision_basis_known_anomalies_included,False,none
