model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,candidate_set_id,candidate_set_family,neckline_gap_min_pct,neckline_gap_max_pct,right_rebound_min_pct,right_rebound_max_pct,second_arc_volume_ratio_min,sample_size,unique_stocks,w_shape_completed_count,w_shape_completed_rate,neckline_volume_breakout_count,neckline_volume_breakout_rate,right_low_failed_count,right_low_failed_rate,too_near_neckline_count,too_near_neckline_rate,completed_without_volume_breakout_count,completed_without_volume_breakout_rate,late_completion_count,late_completion_rate,no_completion_count,no_completion_rate,future_window_incomplete_count,future_window_incomplete_rate,review_score,sample_status,interpretation,approved_for_daily,generated_at
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,baseline_current_audit_all,baseline,,,,,,470,289,216,45.9574,56,11.9149,128,27.234,77,16.383,83,17.6596,58,12.3404,38,8.0851,30,6.383,3.383,broad_sample,still_selects_too_close_to_neckline,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,single_not_near_neckline_gap_ge_2,single_gap_filter,2.0,,,,,389,255,135,34.7044,44,11.3111,128,32.9049,8,2.0566,83,21.3368,58,14.91,38,9.7686,30,7.7121,5.707,broad_sample,right_low_failure_still_high,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,single_not_near_neckline_gap_ge_3,single_gap_filter,3.0,,,,,349,230,105,30.086,35,10.0287,125,35.8166,1,0.2865,69,19.7708,53,15.1862,37,10.6017,29,8.3095,3.3668,broad_sample,right_low_failure_still_high,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,single_not_near_neckline_gap_ge_5,single_gap_filter,5.0,,,,,279,197,72,25.8065,24,8.6022,114,40.8602,1,0.3584,47,16.8459,33,11.828,32,11.4695,28,10.0358,-0.7168,broad_sample,right_low_failure_still_high,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,single_right_rebound_ge_5,single_rebound_filter,,,5.0,,,244,182,145,59.4262,31,12.7049,37,15.1639,72,29.5082,42,17.2131,29,11.8852,18,7.377,15,6.1475,4.5287,broad_sample,still_selects_too_close_to_neckline,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,single_right_rebound_ge_7,single_rebound_filter,,,7.0,,,152,122,98,64.4737,25,16.4474,17,11.1842,57,37.5,16,10.5263,19,12.5,10,6.5789,8,5.2632,6.6777,medium_sample,still_selects_too_close_to_neckline,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,single_second_arc_volume_ge_1_5,single_volume_filter,,,,,1.5,224,162,102,45.5357,25,11.1607,69,30.8036,39,17.4107,38,16.9643,20,8.9286,21,9.375,12,5.3571,0.7812,broad_sample,still_selects_too_close_to_neckline,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,single_second_arc_volume_ge_2_0,single_volume_filter,,,,,2.0,82,63,34,41.4634,5,6.0976,27,32.9268,15,18.2927,14,17.0732,8,9.7561,10,12.1951,3,3.6585,-6.2804,thin_but_reviewable,still_selects_too_close_to_neckline,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,grid_gap_2_15_rebound_3_12_vol_1_2,combined_grid,2.0,15.0,3.0,12.0,1.2,309,209,120,38.835,38,12.2977,93,30.0971,5,1.6181,77,24.9191,48,15.534,25,8.0906,23,7.4434,8.7217,broad_sample,right_low_failure_still_high,false,2026-06-24 22:42:18 Asia/Taipei
w_bottom_right_side,w_bottom_candidate_filter_grid,w_bottom_candidate_quality_audit,warning_research_variant_only,w_bottom_candidate_filter_grid_20260624,warning_research_variant_only,grid_gap_2_15_rebound_3_12_vol_1_5,combined_grid,2.0,15.0,3.0,12.0,1.5,145,113,53,36.5517,17,11.7241,50,34.4828,1,0.6897,35,24.1379,16,11.0345,16,11.0345,10,6.8966,6.6206,medium_sample,right_low_failure_still_high,false,2026-06-24 22:42:18 Asia/Taipei
