research_id,artifact_version,advisory_status,model_id,row_type,audit_scope,audit_key,sample_size,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,min_return_pct,max_return_pct,high_return_share_pct,low_return_share_pct,high_minus_low_pct,value_a,value_b,value_c,status,note,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,dataset_profile,dedupe,raw_vs_dedup,3136,,,,,,,,,,,,,,,,raw_rows=3245,dedup_rows=3136,duplicate_extra_rows=109,,dedupe key is stock/signal/confirmation/trigger/entry/exit/entry_price/exit_price; prefer no_tdcc overlay,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,dataset_profile,overall,all_dedup_mature_formal_operations,3136,1158,56,1922,36.93,1.79,61.29,0.5336,-2.9162,-13.0584,18.9002,-89.8551,91.0714,,,,,,,,,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,anomaly_check,trim_return_tail,trim_1pct_each_tail,3072,1126,56,1890,36.65,1.82,61.52,0.1177,-2.9162,-12.6354,17.6699,-20.9877,53.5817,,,,lower_cutoff=-21.0188,upper_cutoff=53.7730,removed_rows=64,,first-pass numeric anomaly check; extremes require manual data quality review before promotion,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,anomaly_extreme_list,return_extremes,top_10_returns,10,,,,,,,,,,,,,,,,5386|20260202|20260203|next_day_break_signal_high_confirmed|20260204|20260226|112.0|214.0|2492|20260507|20260511|pullback_5ma_confirmed|20260512|20260525|175.0|321.5|5386|20260209|20260210|next_day_break_signal_high_confirmed|20260211|20260306|143.0|260.0|5386|20260203|20260204|next_day_break_signal_high_confirmed|20260205|20260302|111.5|202.5|2492|20260513|20260514|next_day_break_signal_high_confirmed|20260515|20260528|215.0|390.0|2406|20250801|20250804|next_day_break_signal_high_confirmed|20250805|20250818|14.4|25.65|5386|20260206|20260209|next_day_break_signal_high_confirmed|20260210|20260305|134.0|236.5|8422|20251229|20251230|next_day_break_signal_high_confirmed|20251231|20260114|29.9|51.9|3054|20260225|20260226|next_day_break_signal_high_confirmed|20260302|20260313|41.7|72.2|6861|20260223|20260224|next_day_break_signal_high_confirmed|20260225|20260311|95.0|163.5,,,,extreme return list stored in detail; inspect before using averages as evidence,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,anomaly_extreme_list,return_extremes,bottom_10_returns,10,,,,,,,,,,,,,,,,8422|20251022|20251028|pullback_5ma_confirmed|20251029|20251117|241.5|24.5|2540|20250904|20250919|pullback_5ma_confirmed|20250922|20250930|82.7|56.1|8271|20260312|20260313|next_day_break_signal_high_confirmed|20260316|20260327|189.0|133.5|4768|20260226|20260302|next_day_break_signal_high_confirmed|20260303|20260309|562.0|401.5|4973|20260313|20260316|next_day_break_signal_high_confirmed|20260317|20260327|80.7|59.2|3576|20260226|20260302|next_day_break_signal_high_confirmed|20260303|20260310|26.6|19.7|6225|20260513|20260514|next_day_break_signal_high_confirmed|20260515|20260521|35.0|26.0|3701|20260302|20260303|next_day_break_signal_high_confirmed|20260304|20260309|70.1|52.5|6683|20260430|20260504|next_day_break_signal_high_confirmed|20260505|20260514|2565.0|1925.0|2923|20260211|20260223|next_day_break_signal_high_confirmed|20260224|20260309|25.95|19.5,,,,extreme return list stored in detail; inspect before using averages as evidence,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_window_threshold_metrics,close_ge_previous_high_plus_2pct,previous_20d_high,3136,1158,56,1922,36.93,1.79,61.29,0.5336,-2.9162,-13.0584,18.9002,-89.8551,91.0714,,,,window_days=20,baseline_event_count=3136,coverage_pct=100.00,,tests stricter previous-high window on the same deduped formal operation events,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_window_threshold_metrics,close_ge_previous_high_plus_2pct,previous_40d_high,2292,850,41,1401,37.09,1.79,61.13,0.7682,-3.0993,-13.5694,21.2891,-89.8551,91.0714,,,,window_days=40,baseline_event_count=3136,coverage_pct=73.09,,tests stricter previous-high window on the same deduped formal operation events,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,high_window_threshold_metrics,close_ge_previous_high_plus_2pct,previous_60d_high,1762,666,34,1062,37.8,1.93,60.27,1.1468,-3.2976,-13.8837,22.873,-89.8551,91.0714,,,,window_days=60,baseline_event_count=3136,coverage_pct=56.19,,tests stricter previous-high window on the same deduped formal operation events,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,semantic_subset_metrics,provisional_semantic_slice,all_dedup,3136,1158,56,1922,36.93,1.79,61.29,0.5336,-2.9162,-13.0584,18.9002,-89.8551,91.0714,,,,,,,,audit slice only; not a production gate,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
volume_range_breakout_v2_semantic_audit,volume_range_breakout_v2_semantic_audit_20260708,warning_research_variant_only,volume_range_breakout,semantic_subset_metrics,provisional_semantic_slice,low_position_60_le_60,191,55,5,131,28.8,2.62,68.59,-1.1088,-3.3473,-12.5,12.3016,-20.0,73.5786,,,,,,,,audit slice only; not a production gate,False,not_production_ready_research_only,2026-07-08 00:35:05 Asia/Taipei
