research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,row_type,parent_model_id,model_id,model_zh,exit_policy_id,stratification_family,stratification_id,stratification_label,condition_expression,condition_role,baseline_sample_size,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,baseline_win_rate_pct,baseline_loss_rate_pct,baseline_avg_return_pct,baseline_median_return_pct,win_rate_delta_pct,loss_rate_delta_pct,avg_return_delta_pct,median_return_delta_pct,decision_hint,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,tdcc,tdcc_weekly_increase_top20,TDCC weekly_increase rank <=20,tdcc_list_type == weekly_increase AND tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,218,6,2.75,3,1,2,50.0,16.67,33.33,2.8806,2.946,-8.4856,14.1813,45.87,52.75,4.0648,-1.3444,4.13,-19.42,-1.1842,4.2904,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,tdcc,tdcc_any_top20,TDCC any list rank <=20,tdcc_rank <= 20,stratification_only_not_candidate_or_confirmation_gate,218,6,2.75,3,1,2,50.0,16.67,33.33,2.8806,2.946,-8.4856,14.1813,45.87,52.75,4.0648,-1.3444,4.13,-19.42,-1.1842,4.2904,thin_sample_do_not_use_as_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,technical_23ema,tech_close_gt_ema23,signal close > EMA23,hist_close > hist_ema23,stratification_only_not_candidate_or_confirmation_gate,218,218,100.0,100,3,115,45.87,1.38,52.75,4.0648,-1.3444,-14.9842,29.0875,45.87,52.75,4.0648,-1.3444,0.0,0.0,0.0,0.0,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,technical_23ema,tech_dist_ema23_0_to_15,0% <= distance to EMA23 <= 15%,0 <= dist_ema23_pct <= 15,stratification_only_not_candidate_or_confirmation_gate,218,134,61.47,54,2,78,40.3,1.49,58.21,2.069,-2.6132,-16.0564,24.0182,45.87,52.75,4.0648,-1.3444,-5.57,5.46,-1.9958,-1.2688,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,technical_23ema,tech_ret20_0_to_25,20d return 0% to 25%,0 <= hist_return_20d_pct <= 25,stratification_only_not_candidate_or_confirmation_gate,218,181,83.03,81,2,98,44.75,1.1,54.14,4.0716,-1.9211,-15.9375,31.4286,45.87,52.75,4.0648,-1.3444,-1.12,1.39,0.0068,-0.5767,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,technical_23ema,tech_close_gt_ma20,signal close > MA20,close_gt_ma20 == True,stratification_only_not_candidate_or_confirmation_gate,218,218,100.0,100,3,115,45.87,1.38,52.75,4.0648,-1.3444,-14.9842,29.0875,45.87,52.75,4.0648,-1.3444,0.0,0.0,0.0,0.0,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,technical_ma,tech_ma20_gt_ma60,MA20 > MA60,ma20_gt_ma60 == True,stratification_only_not_candidate_or_confirmation_gate,218,168,77.06,81,2,85,48.21,1.19,50.6,4.5285,-0.388,-16.1958,29.0875,45.87,52.75,4.0648,-1.3444,2.34,-2.15,0.4637,0.9564,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,technical_ma,tech_ma60_gt_ma120,MA60 > MA120,ma60_gt_ma120 == True,stratification_only_not_candidate_or_confirmation_gate,218,123,56.42,71,2,50,57.72,1.63,40.65,6.7783,2.8758,-13.5115,33.135,45.87,52.75,4.0648,-1.3444,11.85,-12.1,2.7135,4.2202,positive_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,signal_quality,signal_volume_ratio_2_to_6,volume ratio 2..6,2 <= volume_ratio <= 6,stratification_only_not_candidate_or_confirmation_gate,218,169,77.52,81,3,85,47.93,1.78,50.3,4.4085,-0.1471,-14.569,28.9214,45.87,52.75,4.0648,-1.3444,2.06,-2.45,0.3437,1.1973,mixed_or_weak_stratification_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
volume_range_breakout_v2_research_contract,volume_range_breakout_v2_research_contract_20260709,volume_range_breakout_v2_split_feature_audit,volume_range_breakout_v2_split_feature_audit_20260708,warning_research_variant_only,stratification,volume_range_breakout,volume_range_breakout_v2_low_base_consolidation,低位盤整放量突破,fixed_d20_close_no_stop_reference,signal_quality,signal_volume_ratio_gt6,volume ratio >6,volume_ratio > 6,stratification_only_not_candidate_or_confirmation_gate,218,38,17.43,12,0,26,31.58,0.0,68.42,0.3013,-4.8053,-17.6022,25.6596,45.87,52.75,4.0648,-1.3444,-14.29,15.67,-3.7635,-3.4609,risk_stratification_candidate_not_gate,False,not_production_ready_research_only,2026-07-09 07:39:19 Asia/Taipei
