generated_at,model_id,research_artifact_id,anomaly_exclusion_basis,decision_basis,source_strong_signal_count,unresolved_anomaly_candidate_count_in_source,basis_source_signal_count,accepted_signal_count_after_non_overlap,suppressed_signal_count,return_path_discontinuity_count_after_non_overlap,return_path_discontinuity_count_excluded,return_path_discontinuity_count_in_metric_sample,accepted_trade_count,same_stock_overlap_pair_count,max_realized_return_pct,max_return_stock_id,max_return_signal_date,min_realized_return_pct,min_return_stock_id,min_return_signal_date,return_abs_ge80_anomaly_candidate_count,return_ge50_count,return_le_minus50_count,top1_abs_return_share_pct,top5_abs_return_share_pct,avg_realized_return_pct,median_realized_return_pct,avg_without_max_min_pct,trimmed_1pct_avg_return_pct,potential_return_dominance_flag,interpretation_status,approved_for_daily,production_change
2026-07-14 13:56:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_anomaly_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,81585,11533,70052,4737,65315,5,5,0,4151,0,152.5,8042,20260429,-48.7869,1589,20260223,26,98,0,0.34,1.54,3.2888,-0.1143,3.2654,2.732,False,sensitivity_only_not_anomaly_disposition,False,none
2026-07-14 13:56:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_anomaly_audit,including_unresolved_anomaly_candidates_primary,True,81585,11533,81585,5440,76145,7,0,7,4762,0,220.1893,4414,20250609,-91.0164,4763,20250609,32,112,5,0.43,1.53,2.9429,-0.3454,2.917,2.4161,True,blocked_pending_root_cause_anomaly_candidate_review,False,none
