research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,model_id,matrix_family,condition_set_id,condition_set_label,population_basis,requires_60d_high_breakout,requires_next_day_continuation,deep_low_window_days,deep_low_threshold_pct,range_window_days,range_width_threshold_pct,extra_gate,baseline_sample_size,sample_size,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,min_return_pct,max_return_pct,trim_sample_size,trim_avg_return_pct,trim_median_return_pct,sample_status,win_rate_delta_pct,loss_rate_delta_pct,avg_return_delta_pct,median_return_delta_pct,decision_hint,value_a,value_b,value_c,note,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,baseline,baseline_prev60_high_next_day_continuation,current v2 raw-market population,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,,,,,,811,811,100.0,425,4,382,52.4,0.49,47.1,4.9629,1.3359,-14.7541,29.2017,-29.3651,91.0714,793,4.4842,1.3359,reviewable_sample,0.0,0.0,0.0,0.0,baseline_reference,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,baseline still requires 60d high breakout and next-day continuation,False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,coverage_diagnostic,coverage_off120_available,events with 120d low/range coverage,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,,,,,off120_available,811,528,65.1,254,2,272,48.11,0.38,51.52,3.9372,-0.8047,-16.24,30.7015,-29.3651,81.3953,516,3.4907,-0.8047,reviewable_sample,-4.29,4.42,-1.0257,-2.1406,data_coverage_diagnostic_not_condition,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,data coverage diagnostic only; missing lookback windows are not treated as failed trades,False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,coverage_diagnostic,coverage_off240_available,events with 240d low/range coverage,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,,,,,off240_available,811,167,20.59,89,0,78,53.29,0.0,46.71,6.1819,2.3585,-16.8197,34.8142,-25.7143,81.3953,163,5.7014,2.3585,thin_but_reviewable_sample,0.89,-0.39,1.219,1.0226,data_coverage_diagnostic_not_condition,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,data coverage diagnostic only; missing lookback windows are not treated as failed trades,False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,coverage_diagnostic,coverage_range120_available,events with 120d range coverage,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,,,,,range120_available,811,528,65.1,254,2,272,48.11,0.38,51.52,3.9372,-0.8047,-16.24,30.7015,-29.3651,81.3953,516,3.4907,-0.8047,reviewable_sample,-4.29,4.42,-1.0257,-2.1406,data_coverage_diagnostic_not_condition,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,data coverage diagnostic only; missing lookback windows are not treated as failed trades,False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_only,off120_le20,off 120d low <= 20%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,20,,,,811,16,1.97,1,0,15,6.25,0.0,93.75,-7.4526,-6.1733,-16.0498,-1.6479,-19.4118,2.4038,14,-7.3024,-6.1733,insufficient_sample,-46.15,46.65,-12.4155,-7.5092,insufficient_sample_do_not_use,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,deep low proxy under the current v2 60d-high + continuation population,False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le20_range60_le25,off 120d low <= 20% and 60d range <= 25%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,20,60,25,,811,16,1.97,1,0,15,6.25,0.0,93.75,-7.4526,-6.1733,-16.0498,-1.6479,-19.4118,2.4038,14,-7.3024,-6.1733,insufficient_sample,-46.15,46.65,-12.4155,-7.5092,insufficient_sample_do_not_use,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le20_range60_le35,off 120d low <= 20% and 60d range <= 35%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,20,60,35,,811,16,1.97,1,0,15,6.25,0.0,93.75,-7.4526,-6.1733,-16.0498,-1.6479,-19.4118,2.4038,14,-7.3024,-6.1733,insufficient_sample,-46.15,46.65,-12.4155,-7.5092,insufficient_sample_do_not_use,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le20_range120_le25,off 120d low <= 20% and 120d range <= 25%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,20,120,25,,811,14,1.73,1,0,13,7.14,0.0,92.86,-8.217,-6.8803,-16.522,-2.0958,-19.4118,2.4038,12,-8.1692,-6.8803,insufficient_sample,-45.26,45.76,-13.1799,-8.2162,insufficient_sample_do_not_use,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le20_range120_le35,off 120d low <= 20% and 120d range <= 35%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,20,120,35,,811,16,1.97,1,0,15,6.25,0.0,93.75,-7.4526,-6.1733,-16.0498,-1.6479,-19.4118,2.4038,14,-7.3024,-6.1733,insufficient_sample,-46.15,46.65,-12.4155,-7.5092,insufficient_sample_do_not_use,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le20_range120_le45,off 120d low <= 20% and 120d range <= 45%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,20,120,45,,811,16,1.97,1,0,15,6.25,0.0,93.75,-7.4526,-6.1733,-16.0498,-1.6479,-19.4118,2.4038,14,-7.3024,-6.1733,insufficient_sample,-46.15,46.65,-12.4155,-7.5092,insufficient_sample_do_not_use,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_only,off120_le30,off 120d low <= 30%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,30,,,,811,68,8.38,19,0,49,27.94,0.0,72.06,-2.3261,-5.2291,-14.6284,14.4829,-19.9839,37.7282,66,-2.6654,-5.2291,thin_sample,-24.46,24.96,-7.289,-6.565,weaker_than_current_v2_do_not_promote_as_gate,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,deep low proxy under the current v2 60d-high + continuation population,False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le30_range60_le25,off 120d low <= 30% and 60d range <= 25%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,30,60,25,,811,65,8.01,18,0,47,27.69,0.0,72.31,-2.2708,-5.0736,-14.7316,16.1927,-19.9839,37.7282,63,-2.6245,-5.0736,thin_sample,-24.71,25.21,-7.2337,-6.4095,weaker_than_current_v2_do_not_promote_as_gate,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le30_range60_le35,off 120d low <= 30% and 60d range <= 35%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,30,60,35,,811,68,8.38,19,0,49,27.94,0.0,72.06,-2.3261,-5.2291,-14.6284,14.4829,-19.9839,37.7282,66,-2.6654,-5.2291,thin_sample,-24.46,24.96,-7.289,-6.565,weaker_than_current_v2_do_not_promote_as_gate,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le30_range120_le25,off 120d low <= 30% and 120d range <= 25%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,30,120,25,,811,40,4.93,9,0,31,22.5,0.0,77.5,-3.8813,-6.0634,-15.4227,12.0745,-19.4118,36.8807,38,-4.5453,-6.0634,very_thin_sample,-29.9,30.4,-8.8442,-7.3993,very_thin_sample_review_only,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le30_range120_le35,off 120d low <= 30% and 120d range <= 35%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,30,120,35,,811,60,7.4,15,0,45,25.0,0.0,75.0,-3.6527,-5.7716,-14.9052,11.5046,-19.9839,36.8807,58,-4.07,-5.7716,thin_sample,-27.4,27.9,-8.6156,-7.1075,weaker_than_current_v2_do_not_promote_as_gate,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le30_range120_le45,off 120d low <= 30% and 120d range <= 45%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,30,120,45,,811,66,8.14,18,0,48,27.27,0.0,72.73,-2.8625,-5.4147,-14.6972,12.0683,-19.9839,37.7282,64,-3.2292,-5.4147,thin_sample,-25.13,25.63,-7.8254,-6.7506,weaker_than_current_v2_do_not_promote_as_gate,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_only,off120_le40,off 120d low <= 40%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,40,,,,811,122,15.04,42,0,80,34.43,0.0,65.57,0.1006,-4.6531,-14.5563,21.3584,-24.5464,68.1818,118,-0.6267,-4.6531,thin_but_reviewable_sample,-17.97,18.47,-4.8623,-5.989,weaker_than_current_v2_do_not_promote_as_gate,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,deep low proxy under the current v2 60d-high + continuation population,False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le40_range60_le25,off 120d low <= 40% and 60d range <= 25%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,40,60,25,,811,85,10.48,31,0,54,36.47,0.0,63.53,0.7762,-3.3019,-14.3653,22.3961,-19.9839,68.1818,83,0.2142,-3.3019,thin_sample,-15.93,16.43,-4.1867,-4.6378,weaker_than_current_v2_do_not_promote_as_gate,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,volume_range_breakout_v2_raw_market_rerun,volume_range_breakout_v2_raw_market_rerun_20260708,warning_research_variant_only,volume_range_breakout,deep_low_and_range,off120_le40_range60_le35,off 120d low <= 40% and 60d range <= 35%,current_v2_raw_market_events_requires_prev60_high_breakout_and_next_day_continuation,True,True,120,40,60,35,,811,122,15.04,42,0,80,34.43,0.0,65.57,0.1006,-4.6531,-14.5563,21.3584,-24.5464,68.1818,118,-0.6267,-4.6531,thin_but_reviewable_sample,-17.97,18.47,-4.8623,-5.989,weaker_than_current_v2_do_not_promote_as_gate,source_rows=811,current_v2_population=True,deep_low_not_yet_raw_rerun_without_60d_high_gate,"tests very-low-base plus consolidation width; research-only, not a production gate",False,not_production_ready_research_only,2026-07-08 21:32:48 Asia/Taipei
