model_id,confirmation_model_id,research_id,source_research_id,research_variant_id,parameter_set_id,advisory_status,summary_scope,summary_description,price_level_bucket,sample_size,price_level_available_count,below_252_median_count,below_252_mean_count,source_long_position_gate_pass_count,volume_confirmation_count,volume_confirmation_rate_pct,mature_sample_size,win_count,win_rate_pct,avg_a_return_pct,median_a_return_pct,avg_price_position_252_pct,median_price_position_252_pct,tdcc_any_age7_count,smooth_count,sharp_v_count,wv_multiple_turn_count,slope_break_count,approved_for_daily,production_readiness,generated_at
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,all_w_bottom_candidates,All 470 W-bottom right-side candidates from the path-quality audit.,all,470,470,470,458,470,44,9.3617,52,16,30.7692,0.1621,-1.7857,24.9680,23.6048,2,54,26,286,104,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,all_w_bottom_candidates,All 470 W-bottom right-side candidates from the path-quality audit.,bottom_quartile_level,259,259,259,259,259,20,7.7220,24,8,33.3333,1.4497,-1.7857,15.6181,15.7258,1,32,8,153,66,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,all_w_bottom_candidates,All 470 W-bottom right-side candidates from the path-quality audit.,low_level,149,149,149,147,149,18,12.0805,21,7,33.3333,-0.7633,-1.6568,31.5496,31.1765,1,13,11,99,26,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,all_w_bottom_candidates,All 470 W-bottom right-side candidates from the path-quality audit.,mid_level,57,57,57,49,57,6,10.5263,7,1,14.2857,-1.4765,-3.1146,46.9733,46.3768,0,9,7,30,11,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,all_w_bottom_candidates,All 470 W-bottom right-side candidates from the path-quality audit.,high_level,5,5,5,3,5,0,0.0000,0,0,,,,62.3001,62.5000,0,0,0,4,1,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,observation_to_volume_confirmation,Candidates that started as right-side observation and later confirmed by neckline volume breakout.,all,44,44,44,43,44,44,100.0000,40,13,32.5000,0.8501,-1.7857,26.9060,25.8890,2,3,3,27,11,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,observation_to_volume_confirmation,Candidates that started as right-side observation and later confirmed by neckline volume breakout.,bottom_quartile_level,20,20,20,20,20,20,100.0000,18,6,33.3333,1.6232,-1.7857,16.6363,16.3942,1,0,1,13,6,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,observation_to_volume_confirmation,Candidates that started as right-side observation and later confirmed by neckline volume breakout.,low_level,18,18,18,18,18,18,100.0000,16,6,37.5000,0.8917,-0.8284,31.3989,30.3229,1,1,2,12,3,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,observation_to_volume_confirmation,Candidates that started as right-side observation and later confirmed by neckline volume breakout.,mid_level,6,6,6,5,6,6,100.0000,6,1,16.6667,-1.5801,-3.2522,47.6597,49.0269,0,2,0,2,2,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
w_bottom_right_side,neckline_volume_breakout_confirmation,w_bottom_price_level_audit,w_bottom_path_quality_filter_audit,warning_research_variant_only,w_bottom_price_level_audit_20260625,warning_research_variant_only,observation_volume_exclude_wv,Observation-to-volume-confirmation candidates excluding WV/WVV multiple-turn paths.,all,17,17,17,17,17,17,100.0000,15,6,40.0000,1.6152,-1.6568,28.3433,27.0191,0,3,3,0,11,false,not_production_ready_research_only,2026-06-25 12:42:20 Asia/Taipei
