research_id,source_comparison_research_id,source_comparison_parameter_set_id,research_variant_id,parameter_set_id,advisory_status,failure_control_scope_id,comparison_scope_id,event_family_id,segment_id,stock_id,stock_name,signal_date,retest_date,retest_attack_date,retest_entry_date,visual_pre_signal_context,selected_exit_rule_comparison_id,research_selection_reason,failure_control_rule_id,close_negative_stop_threshold_pct,entry_price,exit_date,exit_price,holding_days,return_pct,max_close_return_pct,min_close_return_pct,outcome_result,exit_reason,source_selected_outcome,source_selected_return_pct,source_selected_exit_date,source_selected_exit_reason,outcome_transition_from_source,approved_for_daily,production_readiness,generated_at
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3163,波若威,20250106,20250107,20250108,20250109,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_no_negative_stop,,156.0000,20250113,152.5000,3,-2.2436,8.3333,-2.2436,neutral,neutral_after_5pct_pullback_close,neutral,-2.2436,20250113,neutral_after_5pct_pullback,neutral_to_neutral,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3163,波若威,20250106,20250107,20250108,20250109,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_loss_stop_minus5pct,-5.0000,156.0000,20250113,152.5000,3,-2.2436,8.3333,-2.2436,neutral,neutral_after_5pct_pullback_close,neutral,-2.2436,20250113,neutral_after_5pct_pullback,neutral_to_neutral,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3163,波若威,20250106,20250107,20250108,20250109,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_loss_stop_minus8pct,-8.0000,156.0000,20250113,152.5000,3,-2.2436,8.3333,-2.2436,neutral,neutral_after_5pct_pullback_close,neutral,-2.2436,20250113,neutral_after_5pct_pullback,neutral_to_neutral,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3163,波若威,20250106,20250107,20250108,20250109,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_loss_stop_minus10pct,-10.0000,156.0000,20250113,152.5000,3,-2.2436,8.3333,-2.2436,neutral,neutral_after_5pct_pullback_close,neutral,-2.2436,20250113,neutral_after_5pct_pullback,neutral_to_neutral,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3260,威剛,20250217,20250218,20250225,20250226,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_no_negative_stop,,87.7000,20250313,90.6000,11,3.3067,6.0433,-3.5348,neutral,neutral_after_5pct_pullback_close,neutral,3.3067,20250313,neutral_after_5pct_pullback,neutral_to_neutral,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3260,威剛,20250217,20250218,20250225,20250226,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_loss_stop_minus5pct,-5.0000,87.7000,20250313,90.6000,11,3.3067,6.0433,-3.5348,neutral,neutral_after_5pct_pullback_close,neutral,3.3067,20250313,neutral_after_5pct_pullback,neutral_to_neutral,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3260,威剛,20250217,20250218,20250225,20250226,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_loss_stop_minus8pct,-8.0000,87.7000,20250313,90.6000,11,3.3067,6.0433,-3.5348,neutral,neutral_after_5pct_pullback_close,neutral,3.3067,20250313,neutral_after_5pct_pullback,neutral_to_neutral,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3260,威剛,20250217,20250218,20250225,20250226,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_loss_stop_minus10pct,-10.0000,87.7000,20250313,90.6000,11,3.3067,6.0433,-3.5348,neutral,neutral_after_5pct_pullback_close,neutral,3.3067,20250313,neutral_after_5pct_pullback,neutral_to_neutral,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,1528,恩德,20250221,20250225,20250226,20250227,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_no_negative_stop,,14.8000,20250303,17.9500,2,21.2838,21.2838,2.3649,win,tp10_close,loss,0.0000,20250227,stop_hit,loss_to_win,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
structured_neckline_close_only_failure_control_audit,structured_neckline_non_bearish_exit_rule_comparison_audit,structured_neckline_non_bearish_exit_rule_comparison_audit_20260629,warning_research_variant_only,structured_neckline_close_only_failure_control_audit_20260629,warning_research_variant_only,selected_close_based_exit_close_only_failure_control,visual_context_non_bearish_signal_low_stop,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,1528,恩德,20250221,20250225,20250226,20250227,mixed,tp10_close_with_5pct_pullback_neutral,close_based_exit_selected_intraday_price_not_repeatable_rule,close_only_loss_stop_minus5pct,-5.0000,14.8000,20250303,17.9500,2,21.2838,21.2838,2.3649,win,tp10_close,loss,0.0000,20250227,stop_hit,loss_to_win,false,not_production_ready_research_only,2026-06-29 01:01:08 Asia/Taipei
