research_id,research_variant_id,parameter_set_id,advisory_status,review_flag,loss_event_count,success_or_neutral_event_count,total_event_count,loss_share_with_flag_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,deep_adverse_close_le_minus10pct,8,4,12,66.6667,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,long_window_slope_negative,7,17,24,29.1667,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,long_context_volatile_mixed,6,19,25,24.0000,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,long_window_return_negative,5,12,17,29.4118,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,near_upper_low_position_band_ge50pct,5,14,19,26.3158,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,long_window_drawdown_le_minus25pct,5,21,26,19.2308,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,deep_close_loss_le_minus10pct,5,0,5,100.0000,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,wide_base_over_20pct,4,22,26,15.3846,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,short_window_return_negative,2,6,8,25.0000,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,short_window_drawdown_le_minus15pct,2,12,14,14.2857,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,weak_follow_through_max_close_lt5pct,10,0,10,100.0000,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,short_context_volatile_mixed,1,5,6,16.6667,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,thin_support_touches_lt3,1,0,1,100.0000,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
structured_neckline_strict_45_90_review_packet,warning_research_variant_only,structured_neckline_strict_45_90_review_packet_20260629,warning_research_variant_only,gave_back_after_plus5pct,0,11,11,0.0000,false,not_production_ready_research_only,2026-06-29 03:16:51 Asia/Taipei
