research_id,source_research_id,source_parameter_set_id,research_variant_id,parameter_set_id,advisory_status,event_family_id,segment_id,stock_id,stock_name,signal_date,retest_date,retest_attack_date,retest_entry_date,reference_price,visual_pre_signal_context,visual_context_filter_result,visual_context_filter_reason,visible_context_start,visible_context_end,visual_pre_signal_sessions,visual_pre_signal_return_pct,visual_pre_signal_range_pct,base_age_sessions,support_pair_span_sessions,neckline_anchor_age_sessions,base_width_pct,low_position_120_pct,manual_review_status,approved_for_daily,production_readiness,generated_at
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3163,波若威,20250106,20250107,20250108,20250109,153.0000,mixed,pass,not_bearish_visual_pre_signal_context,20240816,20250103,95,5.5749,50.8403,34,22,1,25.1534,54.9296,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,1305,華夏,20250213,20250214,20250219,20250220,12.7500,bearish,excluded,bearish_visual_pre_signal_context,20240916,20250212,95,-23.4568,69.1589,21,9,8,13.3333,31.0811,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3260,威剛,20250217,20250218,20250225,20250226,82.0000,mixed,pass,not_bearish_visual_pre_signal_context,20240919,20250214,95,-8.1172,33.0532,37,27,1,8.4656,44.4853,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,1528,恩德,20250221,20250225,20250226,20250227,15.8500,mixed,pass,not_bearish_visual_pre_signal_context,20240925,20250220,95,1.7065,81.7490,22,8,3,20.3036,32.2870,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,9921,巨大,20250224,20250225,20250305,20250306,157.0000,bearish,excluded,bearish_visual_pre_signal_context,20240926,20250221,95,-30.2895,154.8913,60,46,56,9.0278,44.2308,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,2368,金像電,20250522,20250523,20250529,20250602,244.0000,mixed,pass,not_bearish_visual_pre_signal_context,20241220,20250520,95,-3.6876,316.1404,65,24,60,12.3130,23.8624,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,2455,全新,20250611,20250620,20250624,20250625,112.5000,bearish,excluded,bearish_visual_pre_signal_context,20250109,20250610,95,-32.4159,102.2539,41,8,19,31.2719,36.6420,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,2368,金像電,20250630,20250701,20250704,20250707,290.0000,bullish,pass,not_bearish_visual_pre_signal_context,20250206,20250627,95,26.3158,103.5088,73,46,13,36.6313,33.8513,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,3037,欣興,20250703,20250704,20250709,20250710,116.5000,mixed,pass,not_bearish_visual_pre_signal_context,20250211,20250702,95,-10.0402,90.3409,62,44,7,22.5671,32.6788,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
structured_neckline_context_filter_entry_exit_audit,structured_neckline_retest_evidence_shortlist,structured_neckline_retest_evidence_shortlist_20260628,warning_research_variant_only,structured_neckline_context_filter_entry_exit_audit_20260629,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60_market_bull,1727,中華化,20250723,20250724,20250725,20250728,27.9500,bearish,excluded,bearish_visual_pre_signal_context,20250304,20250722,95,-12.2314,58.2697,63,41,39,33.7321,44.9239,pending_user_chart_review,false,not_production_ready_research_only,2026-06-29 00:20:00 Asia/Taipei
