research_id,research_variant_id,parameter_set_id,advisory_status,event_family_id,pattern_subtype,entry_variant,stock_id,stock_name,signal_date,reference_date_1,reference_date_2,reference_price,reference_rule,breakout_distance_pct,volume_ratio,volume_ma20_lots,normal_volume_breakout,locked_limit_up_breakout,signal_close,signal_low,low_position_120_pct,base_width_pct,support_touch_count,descending_line_slope_pct_per_day,direct_entry_date,direct_return_pct,direct_exit_reason,retest_status,retest_date,retest_attack_date,retest_entry_date,retest_return_pct,retest_exit_reason,approved_for_daily,production_readiness,generated_at
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,wide_base_review,direct_breakout_next_open,1101,台泥,20250213,,,31.9500,recent_20_session_local_base_ceiling,4.6948,3.1043,12285.3368,true,false,33.4500,31.7500,89.3701,53.1674,0,,20250214,-0.1493,fixed_10d_close,retest_not_broken_then_attack,20250214,20250220,20250221,1.3216,fixed_10d_close,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,wide_base_review,retest_hold_then_attack_next_open,1101,台泥,20250213,,,31.9500,recent_20_session_local_base_ceiling,4.6948,3.1043,12285.3368,true,false,33.4500,31.7500,89.3701,53.1674,0,,20250214,-0.1493,fixed_10d_close,retest_not_broken_then_attack,20250214,20250220,20250221,1.3216,fixed_10d_close,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,low_position_base_attack,direct_breakout_next_open,1101,台泥,20250922,,,23.9500,recent_20_session_local_base_ceiling,2.7140,3.4542,41949.8269,true,false,24.6000,23.1000,21.7021,14.0590,0,,20250923,-2.7027,fixed_10d_close,retest_found_but_no_attack,20250923,,,,,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,low_position_base_attack,retest_hold_then_attack_next_open,1101,台泥,20250922,,,23.9500,recent_20_session_local_base_ceiling,2.7140,3.4542,41949.8269,true,false,24.6000,23.1000,21.7021,14.0590,0,,20250923,-2.7027,fixed_10d_close,retest_found_but_no_attack,20250923,,,,,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,base_attack_position_review,direct_breakout_next_open,1101,台泥,20260112,,,23.9000,recent_20_session_local_base_ceiling,4.3933,3.3486,29330.9204,true,false,24.9500,23.8000,95.9184,18.0247,0,,20260113,3.3465,fixed_10d_close,retest_not_found,,,,,,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,base_attack_position_review,retest_hold_then_attack_next_open,1101,台泥,20260112,,,23.9000,recent_20_session_local_base_ceiling,4.3933,3.3486,29330.9204,true,false,24.9500,23.8000,95.9184,18.0247,0,,20260113,3.3465,fixed_10d_close,retest_not_found,,,,,,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,base_attack_position_review,direct_breakout_next_open,1102,亞泥,20250303,,,42.1000,recent_20_session_local_base_ceiling,4.7506,3.8537,4746.0270,true,false,44.1000,42.5500,65.0407,16.6205,0,,20250304,1.1416,fixed_10d_close,retest_found_but_no_attack,20250304,,,,,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,base_attack_position_review,retest_hold_then_attack_next_open,1102,亞泥,20250303,,,42.1000,recent_20_session_local_base_ceiling,4.7506,3.8537,4746.0270,true,false,44.1000,42.5500,65.0407,16.6205,0,,20250304,1.1416,fixed_10d_close,retest_found_but_no_attack,20250304,,,,,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,base_attack_position_review,direct_breakout_next_open,1210,大成,20250505,,,61.0000,recent_20_session_local_base_ceiling,2.9508,5.9502,3591.1060,true,false,62.8000,61.2000,116.5138,16.4122,0,,20250506,-3.9246,stop_signal_low,retest_found_but_no_attack,20250506,,,,,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
breakout_family_retest_grid,warning_research_variant_only,breakout_family_retest_grid_20260627,warning_research_variant_only,bottom_base_volume_attack_reference,base_attack_position_review,retest_hold_then_attack_next_open,1210,大成,20250505,,,61.0000,recent_20_session_local_base_ceiling,2.9508,5.9502,3591.1060,true,false,62.8000,61.2000,116.5138,16.4122,0,,20250506,-3.9246,stop_signal_low,retest_found_but_no_attack,20250506,,,,,false,not_production_ready_research_only,2026-06-27 16:57:23 Asia/Taipei
