research_id,research_variant_id,parameter_set_id,advisory_status,confirmation_scope_id,analysis_scope_id,confirmation_rule_id,max_window_sessions,min_follow_through_pct,scope_event_count,data_available_count,source_accepted_count,tradable_entry_count,incomplete_count,win_count,neutral_count,loss_count,pure_win_rate_pct,neutral_inclusive_success_rate_pct,avg_return_pct,median_return_pct,avg_max_close_return_pct,avg_min_close_return_pct,sample_status,interpretation,approved_for_daily,production_readiness,generated_at
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_1pct_within_1_sessions_next_open,1,1.0000,313,282,94,94,0,50,22,22,69.4444,76.5957,5.2187,10.2814,8.9692,-5.5551,reviewable_broader_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_2pct_within_1_sessions_next_open,1,2.0000,313,282,74,74,0,38,17,19,66.6667,74.3243,4.4356,10.1067,8.5543,-6.7677,reviewable_broader_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_3pct_within_1_sessions_next_open,1,3.0000,313,282,54,54,0,27,12,15,64.2857,72.2222,3.3028,8.6780,8.1159,-8.3206,reviewable_small_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_5pct_within_1_sessions_next_open,1,5.0000,313,282,32,32,0,15,6,11,57.6923,65.6250,0.9940,6.0772,7.2573,-11.6370,reviewable_small_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_1pct_within_2_sessions_next_open,2,1.0000,313,282,132,132,0,62,31,39,61.3861,70.4545,4.1027,4.7766,8.0694,-6.0258,reviewable_broader_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_2pct_within_2_sessions_next_open,2,2.0000,313,282,113,113,0,54,26,33,62.0690,70.7965,3.6588,4.9628,7.9721,-6.7776,reviewable_broader_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_3pct_within_2_sessions_next_open,2,3.0000,313,282,94,94,0,43,21,30,58.9041,68.0851,2.8876,4.3688,7.6960,-7.7091,reviewable_broader_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_5pct_within_2_sessions_next_open,2,5.0000,313,282,71,71,0,35,15,21,62.5000,70.4225,3.2511,7.2549,8.0536,-8.5761,reviewable_broader_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_1pct_within_3_sessions_next_open,3,1.0000,313,282,152,152,0,72,38,42,63.1579,72.3684,4.4137,4.9118,8.2238,-5.9998,reviewable_broader_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
structured_neckline_strict_45_90_confirmation_expansion_audit,warning_research_variant_only,structured_neckline_strict_45_90_confirmation_expansion_audit_20260629,warning_research_variant_only,strict_45_90_all_sample_confirmation_next_open_expansion,all_strict_45_90,close_ge_2pct_within_3_sessions_next_open,3,2.0000,313,282,139,139,0,67,34,38,63.8095,72.6619,4.1979,4.9635,8.1987,-6.2816,reviewable_broader_sample,confirmation_next_open_expansion_research_only_not_production_ready,false,not_production_ready_research_only,2026-06-29 03:45:56 Asia/Taipei
