date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20260518,68.6,68.6,63.0,63.8,3221479,,,,,,,,,,,,
20260519,64.9,67.5,64.5,67.0,973182,,,,,,5.0157,,,,,,
20260520,68.8,69.2,66.7,67.1,699837,,,,,,0.1493,,,,,,
20260521,68.0,68.1,65.9,66.9,701095,,,,,,-0.2981,,,,,,
20260522,66.8,66.8,64.0,65.0,1099672,65.96,64.5733,65.96,65.96,65.96,-2.8401,,,0.8212,0.6608,-1.4554,-6.0694
20260525,65.6,67.6,65.2,65.9,1100047,66.38,64.6838,65.95,65.95,65.95,1.3846,3.2915,,0.8467,1.8802,-0.0758,-4.7688
20260526,66.5,67.9,66.4,67.0,829446,66.38,64.8769,66.1,66.1,66.1,1.6692,0.0,,0.6732,3.2726,1.3616,-3.1792
