date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20251103,83.5,88.1,83.5,87.5,831007,,,,,,,,,,,,
20251104,88.8,90.3,86.0,86.0,581089,,,,,,-1.7143,,,,,,
20251105,86.0,86.6,83.5,84.8,307759,,,,,,-1.3953,,,,,,
20251106,85.1,86.1,83.2,85.0,259865,,,,,,0.2358,,,,,,
20251107,84.2,84.2,80.6,80.6,464264,84.78,86.4487,84.78,84.78,84.78,-5.1765,,,0.9498,-6.7655,-4.9304,-10.742
20251110,80.7,81.7,78.5,81.1,446699,83.5,86.003,84.1667,84.1667,84.1667,0.6203,-7.3143,,0.9272,-5.7009,-3.6436,-10.1883
20251111,81.8,82.2,79.3,80.0,230369,82.3,85.5027,83.5714,83.5714,83.5714,-1.3564,-6.9767,,0.5167,-6.4357,-4.2735,-11.4064
20251112,80.2,81.8,80.2,81.0,159378,81.54,85.1275,83.25,83.25,83.25,1.25,-4.4811,,0.3887,-4.8486,-2.7027,-10.299
20251113,80.6,80.8,79.5,80.1,195029,80.56,84.7085,82.9,82.9,82.9,-1.1111,-5.7647,,0.505,-5.4405,-3.3776,-11.2957
20251114,80.0,80.3,77.5,77.6,517149,79.96,84.1162,82.37,82.37,82.37,-3.1211,-3.7221,,1.2953,-7.7466,-5.7909,-14.0642
20251117,77.9,78.5,76.8,77.1,207256,79.16,83.5315,81.8909,81.8909,81.8909,-0.6443,-4.9322,,0.5428,-7.6995,-5.8504,-14.6179
20251118,76.1,76.9,74.9,75.1,371432,78.18,82.8289,81.325,81.325,81.325,-2.594,-6.125,,0.975,-9.3311,-7.6545,-16.8328
20251119,75.1,75.6,73.5,73.7,196183,76.72,82.0681,80.7385,80.7385,80.7385,-1.8642,-9.0123,,0.535,-10.1965,-8.7176,-18.3832
20251120,75.8,75.8,73.7,74.7,182597,75.64,81.4541,80.3071,80.3071,80.3071,1.3569,-6.7416,,0.5164,-8.2919,-6.9821,-17.2757
