# PRICE_WINDOW_125

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,16.05,16.05,16.0,16.0,10073,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,16.0,16.4,16.0,16.4,11376,,,,,,2.5,,,,,

PRICE_WINDOW_180_ROW_003=20251105,16.6,16.8,16.6,16.8,9101,,,,,,2.439,,,,,

PRICE_WINDOW_180_ROW_004=20251106,16.9,17.0,16.85,16.85,12819,,,,,,0.2976,,,,,

PRICE_WINDOW_180_ROW_005=20251107,16.9,17.0,16.8,16.95,5633,16.6,16.6,16.6,16.6,16.2258,0.5935,,,0.5748,2.1084,-0.2941

PRICE_WINDOW_180_ROW_006=20251110,16.95,17.0,16.9,16.9,8023,16.78,16.65,16.65,16.65,16.282,-0.295,5.625,,0.8442,1.5015,-0.5882

PRICE_WINDOW_180_ROW_007=20251111,16.45,16.5,16.45,16.5,2143,16.8,16.6286,16.6286,16.6286,16.3001,-2.3669,0.6098,,0.2535,-0.7732,-2.9412

PRICE_WINDOW_180_ROW_008=20251113,16.5,16.5,16.5,16.5,3149,16.74,16.6125,16.6125,16.6125,16.3168,0.0,-1.7857,,0.4043,-0.6772,-2.9412

PRICE_WINDOW_180_ROW_009=20251114,16.7,16.95,16.7,16.8,10279,16.73,16.6333,16.6333,16.6333,16.3571,1.8182,-0.2967,,1.2743,1.002,-1.1765

PRICE_WINDOW_180_ROW_010=20251117,16.8,16.9,16.75,16.9,4603,16.72,16.66,16.66,16.66,16.4023,0.5952,-0.295,,0.5963,1.4406,-0.5882

PRICE_WINDOW_180_ROW_011=20251119,16.85,16.85,16.85,16.85,1287,16.71,16.6773,16.6773,16.6773,16.4396,-0.2959,-0.2959,,0.1804,1.0357,-0.8824

PRICE_WINDOW_180_ROW_012=20251121,16.3,16.4,16.3,16.3,5426,16.67,16.6458,16.6458,16.6458,16.428,-3.2641,-1.2121,,0.776,-2.0776,-4.1176

