# PRICE_WINDOW_133

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,45.25,45.8,45.25,45.7,17000,,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,45.0,45.6,45.0,45.5,8000,,,,,,-0.4376,,,,,,

PRICE_WINDOW_180_ROW_003=20251105,45.0,45.6,44.85,45.3,8000,,,,,,-0.4396,,,,,,

PRICE_WINDOW_180_ROW_004=20251106,46.45,46.45,45.4,45.85,145000,,,,,,1.2141,,,,,,

PRICE_WINDOW_180_ROW_005=20251107,45.75,46.05,44.1,45.3,32000,45.53,45.6373,45.53,45.53,45.53,-1.1996,,,0.7619,-0.739,-0.5052,-2.4758

PRICE_WINDOW_180_ROW_006=20251110,45.9,45.9,44.6,45.55,16000,45.5,45.63,45.5333,45.5333,45.5333,0.5519,-0.3282,,0.4248,-0.1753,0.0366,-1.9376

PRICE_WINDOW_180_ROW_007=20251111,46.25,46.25,45.15,45.15,7000,45.43,45.59,45.4786,45.4786,45.4786,-0.8782,-0.7692,,0.2103,-0.9651,-0.7225,-2.7987

PRICE_WINDOW_180_ROW_008=20251112,44.5,45.05,44.5,44.8,28000,45.33,45.5242,45.3938,45.3938,45.3938,-0.7752,-1.1038,,0.8582,-1.5907,-1.308,-3.5522

PRICE_WINDOW_180_ROW_009=20251113,44.5,45.3,44.4,45.2,11000,45.2,45.4972,45.3722,45.3722,45.3722,0.8929,-1.4177,,0.364,-0.6531,-0.3796,-2.6911

PRICE_WINDOW_180_ROW_010=20251114,45.0,45.0,44.4,45.0,9000,45.14,45.4557,45.335,45.335,45.335,-0.4425,-0.6623,,0.3203,-1.0026,-0.7389,-3.1216

PRICE_WINDOW_180_ROW_011=20251117,44.6,44.9,44.5,44.9,14000,45.01,45.4094,45.2955,45.2955,45.2955,-0.2222,-1.427,,0.522,-1.1218,-0.8731,-3.3369

PRICE_WINDOW_180_ROW_012=20251118,44.6,44.8,44.3,44.3,14000,44.84,45.317,45.2125,45.2125,45.2125,-1.3363,-1.8826,,0.5437,-2.2441,-2.0182,-4.6286

PRICE_WINDOW_180_ROW_013=20251119,44.3,44.45,44.1,44.4,20000,44.76,45.2406,45.15,45.15,45.15,0.2257,-0.8929,,0.7903,-1.858,-1.6611,-4.4133

