date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
20251103,9.04,9.06,9.0,9.06,274450,,,,,,,,,,,
20251104,9.01,9.04,9.01,9.04,157955,,,,,,-0.2208,,,,,
20251105,9.0,9.02,8.95,9.02,447541,,,,,,-0.2212,,,,,
20251106,9.1,9.28,9.05,9.26,426794,,,,,,2.6608,,,,,
20251107,9.28,9.46,9.24,9.4,1320556,9.156,9.156,9.156,9.156,9.0995,1.5119,,,2.5131,2.6649,-0.6342
20251110,9.55,9.57,9.33,9.34,697235,9.212,9.1867,9.1867,9.1867,9.1196,-0.6383,3.0905,,1.2583,1.6691,-2.4033
20251111,9.35,9.48,9.22,9.26,356563,9.256,9.1971,9.1971,9.1971,9.1313,-0.8565,2.4336,,0.678,0.6834,-3.2393
20251112,9.32,9.35,9.16,9.25,262424,9.302,9.2038,9.2038,9.2038,9.1412,-0.108,2.5499,,0.5324,0.5025,-3.3438
20251113,9.25,9.25,9.14,9.19,366485,9.288,9.2022,9.2022,9.2022,9.1452,-0.6486,-0.7559,,0.7653,-0.1328,-3.9707
20251114,9.18,9.2,9.08,9.17,365151,9.242,9.199,9.199,9.199,9.1473,-0.2176,-2.4468,,0.781,-0.3153,-4.1797
20251117,9.2,9.2,9.06,9.17,286258,9.208,9.1964,9.1964,9.1964,9.1492,0.0,-1.8201,,0.6347,-0.2867,-4.1797
20251118,9.1,9.1,9.02,9.08,282032,9.172,9.1867,9.1867,9.1867,9.1434,-0.9815,-1.9438,,0.6455,-1.1611,-5.1202
20251119,9.08,9.08,9.0,9.08,380951,9.138,9.1785,9.1785,9.1785,9.1381,0.0,-1.8378,,0.8805,-1.0727,-5.1202
20251120,9.06,9.08,8.94,9.08,632668,9.116,9.1714,9.1714,9.1714,9.1333,0.0,-1.197,,1.4156,-0.9969,-5.1202
20251121,8.96,9.06,8.96,9.06,284546,9.094,9.164,9.164,9.164,9.1272,-0.2203,-1.1996,,0.6525,-1.1349,-5.3292
20251124,9.12,9.12,8.91,9.06,345879,9.072,9.1575,9.1575,9.1575,9.1216,0.0,-1.1996,,0.8035,-1.0647,-5.3292
20251125,9.02,9.05,9.0,9.05,143419,9.066,9.1512,9.1512,9.1512,9.1156,-0.1104,-0.3304,,0.3468,-1.1056,-5.4336
20251126,9.04,9.08,9.03,9.07,288011,9.064,9.1467,9.1467,9.1467,9.1118,0.221,-0.1101,,0.7083,-0.8382,-5.2247
20251127,9.03,9.1,9.03,9.07,143189,9.062,9.1426,9.1426,9.1426,9.1083,0.0,-0.1101,,0.3646,-0.7944,-5.2247
20251128,9.03,9.08,9.03,9.08,158413,9.066,9.1395,9.1395,9.1395,9.106,0.1103,0.2208,,0.4158,-0.651,-5.1202
20251201,9.04,9.08,9.01,9.05,228495,9.064,9.139,9.1352,9.1352,9.1013,-0.3304,-0.1104,-0.1104,0.6033,-0.9738,-5.4336
20251202,9.02,9.11,9.02,9.07,158222,9.068,9.1405,9.1323,9.1323,9.0987,0.221,0.221,0.3319,0.4178,-0.7713,-5.2247
20251203,9.07,9.07,9.02,9.02,310074,9.058,9.1405,9.1274,9.1274,9.0921,-0.5513,-0.5513,0.0,0.8338,-1.3183,-5.7471
