date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20251103,77.1,83.5,76.5,82.3,7231542,,,,,,,,,,,,
20251104,83.0,84.3,79.4,79.5,6955357,,,,,,-3.4022,,,,,,
20251105,78.6,79.4,75.5,77.8,3378708,,,,,,-2.1384,,,,,,
20251106,77.9,78.2,74.3,75.7,3779838,,,,,,-2.6992,,,,,,
20251107,75.2,77.3,73.8,76.6,2352748,78.38,80.826,78.38,78.38,78.38,1.1889,,,0.4964,-5.2285,-2.271,-9.134
20251110,74.7,75.1,69.3,70.9,5855583,76.1,79.9988,77.1333,77.1333,77.1333,-7.4413,-13.8518,,1.1888,-11.3737,-8.0812,-15.8956
20251111,70.2,72.6,69.9,71.4,1948302,74.48,79.2823,76.3143,76.3143,76.3143,0.7052,-10.1887,,0.4329,-9.942,-6.4395,-15.3025
20251112,71.4,73.5,71.0,73.5,1623446,73.62,78.8004,75.9625,75.9625,75.9625,2.9412,-5.527,,0.3921,-6.7264,-3.2417,-12.8114
20251113,74.2,74.3,71.8,71.8,1273453,72.84,78.217,75.5,75.5,75.5,-2.3129,-5.1519,,0.3332,-8.2041,-4.9007,-14.828
20251114,71.0,72.3,69.9,72.1,1329462,71.94,77.7073,75.16,75.16,75.16,0.4178,-5.8747,,0.3721,-7.2159,-4.0713,-14.4721
20251117,72.6,73.3,69.7,70.0,1607534,71.76,77.065,74.6909,74.6909,74.6909,-2.9126,-1.2694,,0.4736,-9.1676,-6.2804,-16.9632
20251118,69.8,70.5,67.8,68.7,1773229,71.22,76.3679,74.1917,74.1917,74.1917,-1.8571,-3.7815,,0.5441,-10.0408,-7.402,-18.5053
20251119,68.7,69.6,68.0,68.9,987540,70.3,75.7456,73.7846,73.7846,73.7846,0.2911,-6.2585,,0.3202,-9.0376,-6.6201,-18.2681
20251120,71.0,72.5,70.0,71.4,1087275,70.22,75.3835,73.6143,73.6143,73.6143,3.6284,-0.5571,,0.3696,-5.2843,-3.008,-15.3025
20251121,69.5,70.5,67.2,67.3,1646361,69.26,74.7098,73.1933,73.1933,73.1933,-5.7423,-6.6574,,0.5766,-9.9182,-8.0517,-20.1661
20251124,67.6,69.9,67.3,69.0,1182801,69.06,74.234,72.9312,72.9312,72.9312,2.526,-1.4286,,0.43,-7.0507,-5.3904,-18.1495
