# PRICE_WINDOW_135

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_033=20251217,217.5,220.0,213.0,215.0,16508137,220.8,219.9714,219.45,216.697,216.697,-0.463,-6.1135,9.4148,0.5142,-2.26,-2.0278,-8.5106

PRICE_WINDOW_180_ROW_034=20251218,213.0,213.5,208.0,208.5,17601014,218.2,219.0154,219.3,216.4559,216.4559,-3.0233,-5.8691,-1.4184,0.5705,-4.8012,-4.9248,-11.2766

PRICE_WINDOW_180_ROW_035=20251219,212.0,216.5,212.0,215.5,11702010,215.3,218.7225,219.85,216.4286,216.4286,3.3573,-6.3043,5.379,0.3991,-1.4733,-1.9786,-8.2979

PRICE_WINDOW_180_ROW_036=20251222,219.0,227.0,219.0,221.0,19024563,215.2,218.9123,220.725,216.5556,216.5556,2.5522,-0.2257,8.5995,0.7853,0.9537,0.1246,-5.9574

PRICE_WINDOW_180_ROW_037=20251223,222.5,224.0,220.0,220.0,8092137,216.0,219.0029,221.475,216.6486,216.6486,-0.4525,1.8519,7.3171,0.3492,0.4553,-0.666,-6.383

PRICE_WINDOW_180_ROW_038=20251224,222.0,224.0,219.0,219.0,9835279,216.8,219.0027,221.825,216.7105,216.7105,-0.4545,1.8605,3.3019,0.4457,-0.0012,-1.2735,-6.8085

PRICE_WINDOW_180_ROW_039=20251226,220.5,225.5,220.5,223.0,11160586,219.7,219.3358,221.875,216.8718,216.8718,1.8265,6.9544,0.4505,0.5374,1.6706,0.507,-5.1064

PRICE_WINDOW_180_ROW_040=20251229,234.0,245.0,227.0,245.0,63582297,225.6,221.4745,222.675,217.575,217.575,9.8655,13.6891,6.9869,2.9021,10.6222,10.0258,0.0

PRICE_WINDOW_180_ROW_041=20251230,245.0,250.5,240.5,243.5,52967198,230.1,223.3099,223.975,218.2073,218.2073,-0.6122,10.181,11.954,2.3118,9.0413,8.7175,-2.7944

PRICE_WINDOW_180_ROW_042=20251231,246.0,261.5,244.0,247.5,63445168,235.6,225.3258,225.025,218.9048,218.9048,1.6427,12.5,9.2715,2.6835,9.841,9.9878,-5.3537

PRICE_WINDOW_180_ROW_043=20260102,253.5,272.0,252.5,267.5,57297864,245.3,228.8403,227.1,220.0349,220.0349,8.0808,22.1461,18.3628,2.2805,16.8938,17.7895,-1.6544

PRICE_WINDOW_180_ROW_044=20260105,273.0,274.0,258.5,263.0,43235444,253.3,231.6869,229.225,221.0114,221.0114,-1.6822,17.9372,19.2744,1.6527,13.5153,14.7344,-4.0146

PRICE_WINDOW_180_ROW_045=20260106,263.0,271.0,263.0,267.0,25829669,257.7,234.6297,231.5,222.0333,222.0333,1.5209,8.9796,20.5418,0.9677,13.7963,15.3348,-2.5547

PRICE_WINDOW_180_ROW_046=20260107,270.5,276.0,266.5,266.5,25557113,262.3,237.2855,233.425,223.0,223.0,-0.1873,9.4456,16.886,0.9425,12.3119,14.1694,-3.442

PRICE_WINDOW_180_ROW_047=20260108,264.0,264.5,258.5,263.0,18209796,265.4,239.4284,235.15,223.8511,223.8511,-1.3133,6.2626,15.0985,0.6831,9.8449,11.8435,-4.7101

PRICE_WINDOW_180_ROW_048=20260109,259.5,266.0,252.0,263.5,20399595,264.6,241.4344,236.875,224.6771,224.6771,0.1901,-1.4953,15.0655,0.7563,9.1394,11.2401,-4.529

