# PRICE_WINDOW_136

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
PRICE_WINDOW_180_ROW_032=20251216,1295.0,1310.0,1250.0,1280.0,698576,1307.0,1260.75,1278.5938,1278.5938,1287.1557,-0.3891,-1.9157,8.4746,0.7173,1.5269,-10.4895

PRICE_WINDOW_180_ROW_033=20251217,1305.0,1340.0,1290.0,1315.0,1266106,1301.0,1268.0,1279.697,1279.697,1289.476,2.7344,-2.2305,12.3932,1.2654,3.7066,-8.042

PRICE_WINDOW_180_ROW_034=20251218,1305.0,1315.0,1280.0,1285.0,919386,1293.0,1271.75,1279.8529,1279.8529,1289.103,-2.2814,-3.0189,6.1983,0.9252,1.0419,-10.1399

PRICE_WINDOW_180_ROW_035=20251219,1305.0,1320.0,1300.0,1305.0,437664,1294.0,1279.25,1280.5714,1280.5714,1290.4278,1.5564,0.3846,12.987,0.4558,2.0129,-8.7413

PRICE_WINDOW_180_ROW_036=20251222,1325.0,1325.0,1295.0,1315.0,477362,1300.0,1286.75,1281.5278,1281.5278,1292.4755,0.7663,2.3346,12.8755,0.5179,2.1955,-8.042

PRICE_WINDOW_180_ROW_037=20251223,1330.0,1330.0,1290.0,1295.0,393877,1303.0,1291.5,1281.8919,1281.8919,1292.6859,-1.5209,1.1719,7.9167,0.4428,0.271,-9.4406

PRICE_WINDOW_180_ROW_038=20251224,1315.0,1320.0,1300.0,1305.0,259904,1301.0,1295.25,1282.5,1282.5,1293.712,0.7722,-0.7605,6.0976,0.3072,0.7528,-8.7413

PRICE_WINDOW_180_ROW_039=20251226,1310.0,1310.0,1285.0,1290.0,243099,1302.0,1294.5,1282.6923,1282.6923,1293.4027,-1.1494,0.3891,-1.1494,0.3278,-0.3476,-9.7902

PRICE_WINDOW_180_ROW_040=20251229,1290.0,1295.0,1280.0,1295.0,306097,1300.0,1293.75,1283.0,1283.0,1293.5358,0.3876,-0.7663,-1.145,0.4511,0.0966,-9.4406

PRICE_WINDOW_180_ROW_041=20251230,1295.0,1300.0,1280.0,1290.0,447934,1295.0,1294.5,1283.1707,1283.1707,1293.2412,-0.3861,-1.9011,1.1765,0.6901,-0.3476,-9.7902

PRICE_WINDOW_180_ROW_042=20251231,1295.0,1315.0,1295.0,1295.0,358639,1295.0,1295.5,1283.4524,1283.4524,1293.3877,0.3876,0.0,1.5686,0.5523,-0.0386,-9.4406

PRICE_WINDOW_180_ROW_043=20260102,1295.0,1315.0,1290.0,1295.0,535441,1293.0,1296.5,1283.7209,1283.7209,1293.5221,0.0,-0.7663,1.5686,0.8155,-0.1157,-9.4406

PRICE_WINDOW_180_ROW_044=20260105,1310.0,1310.0,1265.0,1270.0,655764,1289.0,1296.75,1283.4091,1283.4091,1291.5619,-1.9305,-1.5504,0.3953,0.9791,-2.0628,-11.1888

PRICE_WINDOW_180_ROW_045=20260106,1270.0,1285.0,1260.0,1280.0,765203,1286.0,1297.25,1283.3333,1283.3333,1290.5984,0.7874,-1.1583,0.7874,1.1556,-1.3297,-10.4895

PRICE_WINDOW_180_ROW_046=20260107,1295.0,1350.0,1275.0,1345.0,1526299,1297.0,1301.0,1284.6739,1284.6739,1295.1319,5.0781,4.2636,5.9055,2.1215,3.382,-5.9441

PRICE_WINDOW_180_ROW_047=20260108,1380.0,1475.0,1350.0,1405.0,3787586,1319.0,1306.0,1287.234,1287.234,1304.2876,4.461,8.4942,7.6628,4.4223,7.5804,-4.7458

PRICE_WINDOW_180_ROW_048=20260109,1440.0,1460.0,1380.0,1410.0,2887843,1342.0,1309.25,1289.7917,1289.7917,1313.0969,0.3559,8.8803,4.8327,3.1091,7.6952,-4.4068

PRICE_WINDOW_180_ROW_049=20260112,1460.0,1460.0,1385.0,1430.0,1428298,1374.0,1314.5,1292.6531,1292.6531,1322.8388,1.4184,12.5984,7.9245,1.5182,8.7866,-3.0508

PRICE_WINDOW_180_ROW_050=20260113,1435.0,1440.0,1355.0,1360.0,1415581,1390.0,1317.5,1294.0,1294.0,1325.9356,-4.8951,6.25,4.6154,1.4576,3.2258,-7.7966

PRICE_WINDOW_180_ROW_051=20260114,1365.0,1400.0,1365.0,1390.0,846124,1399.0,1322.75,1295.8824,1295.8824,1331.2743,2.2059,3.3457,8.1712,0.8609,5.0841,-5.7627

PRICE_WINDOW_180_ROW_052=20260115,1375.0,1390.0,1360.0,1375.0,657478,1393.0,1327.5,1297.4038,1297.4038,1334.9181,-1.0791,-2.1352,7.4219,0.6704,3.5782,-6.7797

PRICE_WINDOW_180_ROW_053=20260116,1385.0,1390.0,1350.0,1370.0,948133,1385.0,1330.25,1298.7736,1298.7736,1337.8416,-0.3636,-2.8369,4.1825,0.9826,2.9882,-7.1186

PRICE_WINDOW_180_ROW_054=20260119,1385.0,1460.0,1365.0,1430.0,1724025,1385.0,1337.5,1301.2037,1301.2037,1345.5215,4.3796,0.0,11.284,1.7152,6.9159,-3.0508

PRICE_WINDOW_180_ROW_055=20260120,1440.0,1445.0,1400.0,1425.0,748147,1398.0,1343.5,1303.4545,1303.4545,1352.1447,-0.3497,4.7794,9.1954,0.733,6.0662,-3.3898

PRICE_WINDOW_180_ROW_056=20260121,1385.0,1395.0,1330.0,1330.0,1926663,1386.0,1344.25,1303.9286,1303.9286,1350.2993,-6.6667,-4.3165,1.1407,1.7626,-1.0601,-9.8305

PRICE_WINDOW_180_ROW_057=20260122,1370.0,1460.0,1365.0,1460.0,2528857,1403.0,1352.5,1306.6667,1306.6667,1359.441,9.7744,6.1818,12.7413,2.1076,7.9482,-1.0169

PRICE_WINDOW_180_ROW_058=20260123,1490.0,1515.0,1435.0,1450.0,1634532,1419.0,1359.75,1309.1379,1309.1379,1366.9876,-0.6849,5.8394,11.1111,1.2885,6.6372,-4.2904

PRICE_WINDOW_180_ROW_059=20260126,1455.0,1550.0,1435.0,1480.0,2506280,1429.0,1369.25,1312.0339,1312.0339,1376.4053,2.069,3.4965,14.7287,1.8138,8.0884,-4.5161

PRICE_WINDOW_180_ROW_060=20260127,1500.0,1515.0,1470.0,1500.0,1412661,1444.0,1379.5,1315.1667,1315.1667,1386.7049,1.3514,5.2632,15.8301,0.983,8.735,-3.2258

