stock_id,stock_name,theme,market_type,close,volume,price_ret_5d,price_ret_10d,price_ret_20d,relative_ret_20d_vs_twse,relative_ret_20d_vs_tpex,distance_ma20_pct,distance_ma60_pct,volume_ratio_20d,volatility_20d,atr_14,close_position_20d,distance_20d_high,breakout_20d_high,consolidation_days,narrow_range_20d,high_volume_upper_shadow,failed_breakout,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,abm_score,warrant_flow_score,revenue_yoy,revenue_low_price_response,catalyst_available,theme_breadth_score,theme_mainstream_status,market_regime,risk_level,surge_precondition_score,surge_watch_label,risk_flags,reason_summary
0050,元大台灣50,other,TWSE,64.15,140157410,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
0051,元大中型100,other,TWSE,92.8,111068,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
0052,富邦科技,other,TWSE,258.75,4021496,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
0053,元大電子,other,TWSE,141.7,37994,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
0055,元大MSCI金融,other,TWSE,30.6,260643,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
0056,元大高股息,other,TWSE,37.33,47795908,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
0057,富邦摩台,other,TWSE,187.05,12683,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
0061,元大寶滬深,other,TWSE,22.25,211891,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
1101,台泥,other,TWSE,21.5,44983386,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
1102,亞泥,other,TWSE,35.45,8469785,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
4916,事欣科,AI server supply chain,TWSE,53.3,3406162,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
2355,敬鵬,PCB/CCL,TWSE,32.85,1244043,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
3481,群創,consumer electronics,TWSE,13.5,51207414,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
2344,華邦電,memory,TWSE,56.6,68487857,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
3006,晶豪科,memory,TWSE,89.9,23064024,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
4906,正文,networking,TWSE,26.3,2660269,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
6285,啟碁,networking,TWSE,128.0,6588788,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
3450,聯鈞,optical communication/CPO,TWSE,282.0,12575871,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
5439,高技,PCB/CCL,TPEX,359.5,11343000,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
5464,霖宏,PCB/CCL,TPEX,26.35,31000,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
1240,茂生農經,other,TPEX,57.6,16000,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
1259,安心,other,TPEX,60.7,2000,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
1264,德麥,other,TPEX,293.5,10000,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
1268,漢來美食,other,TPEX,160.0,26000,,,,,,,,,,,,,False,0.0,False,False,False,,,,,,,,,False,True,,,,,0.0,D_weak_or_insufficient,,
