surge_date,pre_date,stock_id,stock_name,theme,market_type,surge_type,days_before_surge_signal,event_future_max_ret_5d,event_future_max_ret_10d,event_future_max_ret_20d,days_to_surge_high,close,volume,price_ret_5d,price_ret_10d,price_ret_20d,relative_ret_20d_vs_twse,relative_ret_20d_vs_tpex,distance_ma20_pct,distance_ma60_pct,volume_ratio_20d,volatility_20d,atr_14,close_position_20d,distance_20d_high,breakout_20d_high,consolidation_days,narrow_range_20d,high_volume_upper_shadow,failed_breakout,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,abm_score,warrant_flow_score,revenue_yoy,revenue_low_price_response,catalyst_available,theme_breadth_score,theme_mainstream_status,market_regime,risk_level,surge_precondition_score,surge_watch_label,risk_flags,reason_summary,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates
20260609,20260526,1905,華紙,other,TWSE,surge_10d,10,10.546875,46.875,46.875,8,12.0,3701519.0,1.2658227848101333,0.0,-9.433962264150942,-19.300374424902646,-25.94370898209286,-3.1085991118288248,-8.022718388558026,1.067008649615169,1.4577771939815032,0.35000000000000003,12.5,-12.727272727272732,False,3.0,False,False,False,1.0,False,True,,,,,,False,True,,,,,18.0,D_weak_or_insufficient,,量能溫和,tdcc-20260717-98c564c5bc4ab725,complete,
20260529,20260526,1906,寶隆,other,TWSE,surge_5d,3,24.257425742574277,24.257425742574277,24.257425742574277,5,10.35,274079.0,-1.8957345971564066,-4.166666666666674,-8.407079646017712,-18.273491806769414,-24.91682636395963,-4.564315352697101,-9.196985515383883,2.3664445094885207,0.7901463962066168,0.2535714285714286,22.58064516129029,-10.389610389610393,False,14.0,False,False,False,5.0,True,True,,,,,,False,True,,,,,30.0,D_weak_or_insufficient,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260602,20260526,1906,寶隆,other,TWSE,surge_5d,5,20.095693779904323,20.095693779904323,20.095693779904323,3,10.35,274079.0,-1.8957345971564066,-4.166666666666674,-8.407079646017712,-18.273491806769414,-24.91682636395963,-4.564315352697101,-9.196985515383883,2.3664445094885207,0.7901463962066168,0.2535714285714286,22.58064516129029,-10.389610389610393,False,14.0,False,False,False,5.0,True,True,,,,,,False,True,,,,,30.0,D_weak_or_insufficient,,,tdcc-20260717-98c564c5bc4ab725,complete,
20260527,20260526,2025,千興,other,TWSE,surge_10d,1,4.132231404958686,30.99173553719008,30.99173553719008,9,12.1,488160.0,2.5423728813559254,0.8333333333333304,8.520179372197312,-1.346232788554392,-7.989567345744607,3.3084311632870733,4.898136107498918,0.9221026683572637,4.08376547644725,0.7,56.000000000000014,-8.333333333333325,False,10.0,False,False,False,0.0,False,False,,,,,,False,True,,,,,20.0,D_weak_or_insufficient,,靠近MA20,tdcc-20260717-98c564c5bc4ab725,complete,
20260528,20260526,2025,千興,other,TWSE,surge_10d,2,5.000000000000004,32.08333333333333,32.08333333333333,8,12.1,488160.0,2.5423728813559254,0.8333333333333304,8.520179372197312,-1.346232788554392,-7.989567345744607,3.3084311632870733,4.898136107498918,0.9221026683572637,4.08376547644725,0.7,56.000000000000014,-8.333333333333325,False,10.0,False,False,False,0.0,False,False,,,,,,False,True,,,,,20.0,D_weak_or_insufficient,,靠近MA20,tdcc-20260717-98c564c5bc4ab725,complete,
20260529,20260526,2025,千興,other,TWSE,surge_10d,3,12.605042016806722,33.193277310924366,33.193277310924366,7,12.1,488160.0,2.5423728813559254,0.8333333333333304,8.520179372197312,-1.346232788554392,-7.989567345744607,3.3084311632870733,4.898136107498918,0.9221026683572637,4.08376547644725,0.7,56.000000000000014,-8.333333333333325,False,10.0,False,False,False,0.0,False,False,,,,,,False,True,,,,,20.0,D_weak_or_insufficient,,靠近MA20,tdcc-20260717-98c564c5bc4ab725,complete,
20260602,20260526,2025,千興,other,TWSE,surge_10d,5,30.99173553719008,30.99173553719008,30.99173553719008,5,12.1,488160.0,2.5423728813559254,0.8333333333333304,8.520179372197312,-1.346232788554392,-7.989567345744607,3.3084311632870733,4.898136107498918,0.9221026683572637,4.08376547644725,0.7,56.000000000000014,-8.333333333333325,False,10.0,False,False,False,0.0,False,False,,,,,,False,True,,,,,20.0,D_weak_or_insufficient,,靠近MA20,tdcc-20260717-98c564c5bc4ab725,complete,
20260527,20260526,2059,川湖,other,TWSE,surge_10d,1,9.247967479674802,39.73577235772359,58.434959349593484,10,5035.0,310520.0,13.146067415730345,-7.529843893480259,27.14646464646464,17.280052485712936,10.636717928522721,6.442577030812324,30.18184839970828,0.46601761072927056,5.046183566709461,367.5,66.47398843930635,-10.329474621549418,False,0.0,False,False,False,0.0,False,False,,,,,,False,True,,,,,0.0,C_too_hot,too_hot_or_overextended,風險:too_hot_or_overextended,tdcc-20260717-98c564c5bc4ab725,complete,
20260528,20260526,2059,川湖,other,TWSE,surge_10d,2,16.48936170212767,46.27659574468086,65.85106382978722,9,5035.0,310520.0,13.146067415730345,-7.529843893480259,27.14646464646464,17.280052485712936,10.636717928522721,6.442577030812324,30.18184839970828,0.46601761072927056,5.046183566709461,367.5,66.47398843930635,-10.329474621549418,False,0.0,False,False,False,0.0,False,False,,,,,,False,True,,,,,0.0,C_too_hot,too_hot_or_overextended,風險:too_hot_or_overextended,tdcc-20260717-98c564c5bc4ab725,complete,
20260529,20260526,2059,川湖,other,TWSE,surge_10d,3,14.610069101678192,38.99308983218164,53.89930898321818,10,5035.0,310520.0,13.146067415730345,-7.529843893480259,27.14646464646464,17.280052485712936,10.636717928522721,6.442577030812324,30.18184839970828,0.46601761072927056,5.046183566709461,367.5,66.47398843930635,-10.329474621549418,False,0.0,False,False,False,0.0,False,False,,,,,,False,True,,,,,0.0,C_too_hot,too_hot_or_overextended,風險:too_hot_or_overextended,tdcc-20260717-98c564c5bc4ab725,complete,
