evidence_id,evidence_version,analysis_family,group_id,return_basis,sample_count,positive_count,positive_rate_pct,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,comparator_sample_count,comparator_avg_return_pct,comparator_median_return_pct,avg_difference_pct_points,median_difference_pct_points,group_count,coverage_count,coverage_total,status,notes
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,overall_gross,all_53,gross_d2_open_to_d30_close,53,41,77.3585,14.8950,9.4077,-19.6694,82.5095,,,,,,,53,53,historical_backtest_gross_positive,primary retains every verified real extreme and repaired-source rerun row
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,chronological_gross,chronological_third_1_early_18,gross_d2_open_to_d30_close,18,13,72.2222,4.5506,5.7072,-18.7552,26.8739,,,,,,,,,gross_positive,equal-count chronological thirds assigned without outcome values
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,chronological_gross,chronological_third_2_middle_18,gross_d2_open_to_d30_close,18,14,77.7778,16.6001,16.6782,-19.6694,55.0978,,,,,,,,,gross_positive,equal-count chronological thirds assigned without outcome values
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,chronological_gross,chronological_third_3_late_17,gross_d2_open_to_d30_close,17,14,82.3529,24.0425,14.1538,-10.9375,82.5095,,,,,,,,,gross_positive,equal-count chronological thirds assigned without outcome values
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,overall_market_benchmark,all_53,stock_gross_minus_same_market_same_dates_index_open_to_close,53,27,50.9434,2.9800,0.5765,-38.9399,64.9151,,,,,,,53,53,weak_positive_overall,exact-date TWSE or TPEX benchmark; no as-of or nearest-date fallback
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,chronological_market_benchmark,chronological_third_1_early_18,stock_gross_minus_same_market_same_dates_index_open_to_close,18,6,33.3333,-3.8632,-8.4722,-29.7151,25.4500,,,,,,,,,relative_edge_negative,relative edge is diagnostic and does not reselect the frozen sample
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,chronological_market_benchmark,chronological_third_2_middle_18,stock_gross_minus_same_market_same_dates_index_open_to_close,18,9,50.0000,0.9467,1.5030,-38.9399,43.1003,,,,,,,,,relative_edge_positive,relative edge is diagnostic and does not reselect the frozen sample
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,chronological_market_benchmark,chronological_third_3_late_17,stock_gross_minus_same_market_same_dates_index_open_to_close,17,12,70.5882,12.3787,4.9823,-26.7798,64.9151,,,,,,,,,relative_edge_positive,relative edge is diagnostic and does not reselect the frozen sample
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,entry_market_regime,correction,gross_d2_open_to_d30_close,11,8,72.7273,12.7598,9.4077,-19.6694,55.0978,,,,,,,,,gross_observed,entry-date point-in-time index regime classification
revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence,revenue_unreacted_range_source_mid_falling_frozen_rule_launch_evidence_v1_20260830,entry_market_regime,correction,stock_gross_minus_same_market_same_dates_index_open_to_close,11,4,36.3636,-2.7881,-1.7309,-38.9399,43.1003,,,,,,,,,relative_edge_negative,entry-date point-in-time index regime classification
