operation_rank,model_id,overlay_model_id,research_id,latest_price_date,signal_date,confirmation_date,confirmation_age_trading_days,stock_id,stock_name,market,trigger_id,trigger_name_zh,confirmation_rule_zh,matched_trigger_ids,selected_trigger_id,selected_confirmation_date,selected_trigger_priority,operation_selection_status,entry_rule_id,entry_rule_zh,planned_entry_timing_zh,entry_price_status,stop_loss_rule_id,stop_loss_rule_zh,stop_loss_level,exit_rule_id,exit_rule_zh,tdcc_list_type,tdcc_signal_date,tdcc_signal_age_days,tdcc_rank,tdcc_ranking_score,classification_id,classification_name_zh,attack_method,attack_method_name_zh,price_position_type,price_position_name_zh,risk_type,risk_name_zh,evidence_confluence_scope,evidence_confluence_id,evidence_rank_bucket,evidence_sample_size,evidence_win_rate,evidence_avg_return,evidence_median_return,evidence_confidence_status,evidence_out_of_sample_pass,ranking_research_score,approved_for_daily
11,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,2618,長榮航,TWSE,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,40.05,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,general_breakout,一般突破,high_position,高位階,high_position_chase,高位階追價,operation_attack_method,general_breakout,all,282,42.91,1.2764,-2.0934,medium,False,-2.6828,False
12,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,2718,全心投控,TPEx,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,48.45,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,general_breakout,一般突破,high_position,高位階,normal_risk,一般風險,operation_attack_method,general_breakout,all,282,42.91,1.2764,-2.0934,medium,False,-2.6828,False
13,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,2342,茂矽,TWSE,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,47.25,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,volume_attack,放量攻擊,high_position,高位階,normal_risk,一般風險,operation_classification,high_position_breakout,all,471,39.07,1.0476,-3.0,medium,False,-4.2143,False
14,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,3362,先進光,TPEx,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,196.0,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,volume_attack,放量攻擊,high_position,高位階,high_position_chase,高位階追價,operation_classification,high_position_breakout,all,471,39.07,1.0476,-3.0,medium,False,-4.2143,False
15,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,6488,環球晶,TPEx,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,1025.0,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,volume_attack,放量攻擊,high_position,高位階,high_position_chase,高位階追價,operation_classification,high_position_breakout,all,471,39.07,1.0476,-3.0,medium,False,-4.2143,False
16,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,8906,花王,TPEx,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,29.85,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,high_position_breakout,高位階突破,volume_attack,放量攻擊,high_position,高位階,high_position_chase,高位階追價,operation_classification,high_position_breakout,all,471,39.07,1.0476,-3.0,medium,False,-4.2143,False
17,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,2061,風青,TPEx,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,43.9,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,high_position,高位階,high_position_chase,高位階追價,operation_price_position,high_position,all,1521,37.74,0.6778,-3.8591,medium,False,-5.7803,False
18,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,2332,友訊,TWSE,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,16.95,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,high_position,高位階,high_position_chase,高位階追價,operation_price_position,high_position,all,1521,37.74,0.6778,-3.8591,medium,False,-5.7803,False
19,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,3060,銘異,TWSE,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,34.2,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,high_position,高位階,high_position_chase,高位階追價,operation_price_position,high_position,all,1521,37.74,0.6778,-3.8591,medium,False,-5.7803,False
20,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,4976,佳凌,TWSE,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,37.0,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,high_position,高位階,high_position_chase,高位階追價,operation_price_position,high_position,all,1521,37.74,0.6778,-3.8591,medium,False,-5.7803,False
21,volume_range_breakout,tdcc_weekly_ranking_formula,volume_breakout_confirmed_operation,,20260617,20260618,1,6742,澤米,TWSE,next_day_break_signal_high_confirmed,隔日突破訊號高點,訊號隔日盤中突破訊號日高點，且收盤仍高於訊號日收盤。,next_day_break_signal_high_confirmed|next_day_continuation_confirmed,next_day_break_signal_high_confirmed,20260618,2,selected_formal_operation,confirmation_next_open,確認日收盤後列入；下一個交易日開盤價進場。,下一個交易日開盤,next_open_pending,signal_low_stop,跌破訊號K低點停損,61.0,signal_low_stop_or_fixed_10d_close,先碰訊號K低點停損，否則持有10個交易日收盤出場。,no_tdcc,,,,,locked_limit_up_breakout,鎖量漲停突破,locked_limit_up,鎖量漲停,high_position,高位階,high_position_chase,高位階追價,operation_price_position,high_position,all,1521,37.74,0.6778,-3.8591,medium,False,-5.7803,False
