date,twse_rows,tpex_rows,total_rows,valid,reason
20260517,0,5573,1115,False,TWSE rows too low: 0
20260516,0,5573,1115,False,TWSE rows too low: 0
20260515,1075,5573,2190,True,valid
20260514,1076,5573,2191,True,valid
20260513,1074,5573,2189,True,valid
20260512,1076,5573,2191,True,valid
20260511,1077,5573,2192,True,valid
20260510,0,5573,1115,False,TWSE rows too low: 0
20260509,0,5573,1115,False,TWSE rows too low: 0
20260508,1075,5573,2190,True,valid
20260507,1076,5573,2191,True,valid
20260506,1075,5573,2190,True,valid
20260505,1074,5573,2189,True,valid
20260504,1074,5573,2189,True,valid
20260503,0,5573,1115,False,TWSE rows too low: 0
20260502,0,5573,1115,False,TWSE rows too low: 0
20260501,0,5573,1115,False,TWSE rows too low: 0
20260430,1074,5573,2189,True,valid
20260429,1074,5573,2189,True,valid
20260428,1072,5573,2187,True,valid
20260427,1069,5573,2184,True,valid
20260426,0,5573,1115,False,TWSE rows too low: 0
20260425,0,5573,1115,False,TWSE rows too low: 0
20260424,1073,5573,2188,True,valid
20260423,1074,5573,2189,True,valid
20260422,1073,5573,2188,True,valid
20260421,1074,5573,2189,True,valid
20260420,1074,5573,2189,True,valid
20260419,0,5573,1115,False,TWSE rows too low: 0
20260418,0,5573,1115,False,TWSE rows too low: 0
20260417,1074,5573,2189,True,valid
20260416,1074,5573,2189,True,valid
20260415,1073,5573,2188,True,valid
20260414,1073,5573,2188,True,valid
20260413,1069,5573,2184,True,valid
20260412,0,5573,1115,False,TWSE rows too low: 0
20260411,0,5573,1115,False,TWSE rows too low: 0
20260410,0,5573,1115,False,TWSE rows too low: 0
20260409,1073,5573,2188,True,valid
20260408,1073,5573,2188,True,valid
20260407,1073,5573,2188,True,valid
20260406,0,5573,1115,False,TWSE rows too low: 0
20260405,0,5573,1115,False,TWSE rows too low: 0
20260404,0,5573,1115,False,TWSE rows too low: 0
20260403,0,5573,1115,False,TWSE rows too low: 0
20260402,1073,5573,2188,True,valid
20260401,1073,5573,2188,True,valid
20260331,1071,5573,2186,True,valid
20260330,1071,5573,2186,True,valid
20260329,0,5573,1115,False,TWSE rows too low: 0
20260328,0,5573,1115,False,TWSE rows too low: 0
20260327,1068,5573,2183,True,valid
20260326,1070,5573,2185,True,valid
20260325,1071,5573,2186,True,valid
20260324,1067,5573,2182,True,valid
20260323,1070,5573,2185,True,valid
20260322,0,5573,1115,False,TWSE rows too low: 0
20260321,0,5573,1115,False,TWSE rows too low: 0
20260320,1069,5573,2184,True,valid
20260319,1070,5573,2185,True,valid
20260318,1072,5573,2187,True,valid
20260317,1072,0,1072,False,TPEx rows too low: 0
20260316,1070,5573,2185,True,valid
20260315,0,5573,1115,False,TWSE rows too low: 0
20260314,0,5573,1115,False,TWSE rows too low: 0
20260313,1071,5573,2186,True,valid
20260312,1072,5573,2187,True,valid
20260311,1071,5573,2186,True,valid
20260310,1072,5573,2187,True,valid
20260309,1072,5573,2187,True,valid
