日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
20260924,125974,104015,121.11,59603,69848,85.33
20260923,342337,357206,95.84,38859,48680,79.83
20260922,244784,241413,101.40,76931,88093,87.33
20260921,156156,124823,125.10,59117,61452,96.20
20260918,329902,332047,99.35,35415,46401,76.32
20260917,204410,190616,107.24,58457,76415,76.50
20260916,375087,352656,106.36,31098,37215,83.56
20260915,172547,162102,106.44,81556,94956,85.89
20260914,150180,140242,107.09,70687,80290,88.04
20260911,335358,366279,91.56,52641,60025,87.70
20260910,153526,162670,94.38,69363,83906,82.67
20260909,383703,349523,109.78,51246,53194,96.34
20260908,150830,145828,103.43,87226,82893,105.23
20260907,161219,130132,123.89,72790,65172,111.69
20260904,356219,361817,98.45,48162,48258,99.80
20260903,200459,199942,100.26,65726,85180,77.16
20260902,322841,377798,85.45,45076,53724,83.90
20260901,202790,181697,111.61,82948,75379,110.04
20260831,161117,136134,118.35,61681,64172,96.12
20260828,308922,306713,100.72,42600,41994,101.44
20260827,158174,129911,121.76,61636,58254,105.81
20260826,373558,332947,112.20,40154,38971,103.04
20260825,197640,178414,110.78,62319,61102,101.99
