日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
20260623,171057,208467,82.05,83196,84046,98.99
20260622,310654,243174,127.75,57608,39017,147.65
20260618,142116,125947,112.84,73261,63887,114.67
20260617,447306,416109,107.50,36594,27484,133.15
20260616,186945,142010,131.64,170780,103830,164.48
20260615,169628,126283,134.32,150207,87328,172.00
20260612,391613,391113,100.13,109682,65153,168.35
20260611,225901,214908,105.12,132390,99293,133.33
20260610,558930,517869,107.93,101610,61208,166.01
20260609,215154,181918,118.27,148950,111453,133.64
20260608,175402,210096,83.49,120784,95293,126.75
20260605,485322,537078,90.36,94904,50040,189.66
20260604,162557,188106,86.42,121092,86242,140.41
20260603,434108,371294,116.92,92070,42295,217.69
20260602,241542,225971,106.89,131646,92164,142.84
20260601,175531,147866,118.71,115079,67252,171.12
20260529,443758,355520,124.82,86016,38684,222.36
20260528,273231,273374,99.95,105568,82596,127.81
20260527,566963,524288,108.14,74886,40574,184.57
20260526,179379,161536,111.05,116693,92791,125.76
20260525,207699,150183,138.30,98585,66292,148.71
