as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,3498,1,1-999,49078,1050683,1.71
20260709,3498,2,"1,000-5,000",6377,11274101,18.39
20260709,3498,3,"5,001-10,000",515,3991509,6.51
20260709,3498,4,"10,001-15,000",144,1858150,3.03
20260709,3498,5,"15,001-20,000",69,1280268,2.08
20260709,3498,6,"20,001-30,000",58,1492306,2.43
20260709,3498,7,"30,001-40,000",27,972979,1.58
20260709,3498,8,"40,001-50,000",16,747262,1.21
20260709,3498,9,"50,001-100,000",49,3606181,5.88
20260709,3498,10,"100,001-200,000",14,2038947,3.32
20260709,3498,11,"200,001-400,000",9,2828090,4.61
20260709,3498,12,"400,001-600,000",5,2453601,4.0
20260709,3498,13,"600,001-800,000",1,750000,1.22
20260709,3498,14,"800,001-1,000,000",0,0,0.0
20260709,3498,15,"1,000,001以上",9,26928931,43.94
20260709,3498,16,合　計,56371,61273008,100.0
