as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,8349,1,1-999,2177,451192,0.21
20260709,8349,2,"1,000-5,000",3665,7892035,3.77
20260709,8349,3,"5,001-10,000",774,5551073,2.65
20260709,8349,4,"10,001-15,000",296,3698228,1.77
20260709,8349,5,"15,001-20,000",168,2906726,1.39
20260709,8349,6,"20,001-30,000",196,4757027,2.27
20260709,8349,7,"30,001-40,000",111,3815857,1.82
20260709,8349,8,"40,001-50,000",77,3462494,1.65
20260709,8349,9,"50,001-100,000",127,8981556,4.3
20260709,8349,10,"100,001-200,000",69,9517885,4.55
20260709,8349,11,"200,001-400,000",34,9299190,4.45
20260709,8349,12,"400,001-600,000",7,3477746,1.66
20260709,8349,13,"600,001-800,000",4,2868107,1.37
20260709,8349,14,"800,001-1,000,000",3,2434140,1.16
20260709,8349,15,"1,000,001以上",23,139708135,66.9
20260709,8349,16,合　計,7731,208821391,100.0
