as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,5529,1,1-999,9350,426110,0.41
20260709,5529,2,"1,000-5,000",1278,2730308,2.68
20260709,5529,3,"5,001-10,000",276,2089184,2.05
20260709,5529,4,"10,001-15,000",97,1220008,1.19
20260709,5529,5,"15,001-20,000",71,1294482,1.27
20260709,5529,6,"20,001-30,000",71,1753253,1.72
20260709,5529,7,"30,001-40,000",35,1248565,1.22
20260709,5529,8,"40,001-50,000",26,1184433,1.16
20260709,5529,9,"50,001-100,000",65,4505156,4.42
20260709,5529,10,"100,001-200,000",34,4881182,4.79
20260709,5529,11,"200,001-400,000",20,5272807,5.17
20260709,5529,12,"400,001-600,000",5,2490560,2.44
20260709,5529,13,"600,001-800,000",2,1440501,1.41
20260709,5529,14,"800,001-1,000,000",2,1707317,1.67
20260709,5529,15,"1,000,001以上",10,69593615,68.33
20260709,5529,16,合　計,11342,101837481,100.0
