as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,9925,1,1-999,5708,714630,0.18
20260709,9925,2,"1,000-5,000",8783,18381932,4.74
20260709,9925,3,"5,001-10,000",2378,17516292,4.52
20260709,9925,4,"10,001-15,000",758,9072067,2.34
20260709,9925,5,"15,001-20,000",391,6888540,1.77
20260709,9925,6,"20,001-30,000",388,9607619,2.47
20260709,9925,7,"30,001-40,000",205,7005530,1.8
20260709,9925,8,"40,001-50,000",112,5083979,1.31
20260709,9925,9,"50,001-100,000",228,15818345,4.08
20260709,9925,10,"100,001-200,000",126,17528126,4.52
20260709,9925,11,"200,001-400,000",48,13542675,3.49
20260709,9925,12,"400,001-600,000",19,9196660,2.37
20260709,9925,13,"600,001-800,000",16,11046351,2.85
20260709,9925,14,"800,001-1,000,000",8,7112466,1.83
20260709,9925,15,"1,000,001以上",45,238974393,61.67
20260709,9925,16,合　計,19213,387489605,100.0
