as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,9944,1,1-999,7069,1316480,1.24
20260709,9944,2,"1,000-5,000",2924,5646576,5.33
20260709,9944,3,"5,001-10,000",286,2140208,2.02
20260709,9944,4,"10,001-15,000",68,855744,0.8
20260709,9944,5,"15,001-20,000",48,883407,0.83
20260709,9944,6,"20,001-30,000",34,877362,0.82
20260709,9944,7,"30,001-40,000",12,431379,0.4
20260709,9944,8,"40,001-50,000",23,1072238,1.01
20260709,9944,9,"50,001-100,000",36,2652766,2.5
20260709,9944,10,"100,001-200,000",15,2069137,1.95
20260709,9944,11,"200,001-400,000",16,4556819,4.3
20260709,9944,12,"400,001-600,000",15,7691425,7.26
20260709,9944,13,"600,001-800,000",7,4823211,4.55
20260709,9944,14,"800,001-1,000,000",1,834947,0.78
20260709,9944,15,"1,000,001以上",20,70056401,66.14
20260709,9944,16,合　計,10574,105908100,100.0
