as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2605,1,1-999,60229.0,3157111,0.53
20260709,2605,2,"1,000-5,000",37038.0,74612410,12.74
20260709,2605,3,"5,001-10,000",5220.0,40022190,6.83
20260709,2605,4,"10,001-15,000",1617.0,20295439,3.46
20260709,2605,5,"15,001-20,000",953.0,17608112,3.0
20260709,2605,6,"20,001-30,000",843.0,21351976,3.64
20260709,2605,7,"30,001-40,000",341.0,12154426,2.07
20260709,2605,8,"40,001-50,000",214.0,9841106,1.68
20260709,2605,9,"50,001-100,000",419.0,30270504,5.17
20260709,2605,10,"100,001-200,000",173.0,24118368,4.12
20260709,2605,11,"200,001-400,000",78.0,22774422,3.89
20260709,2605,12,"400,001-600,000",28.0,13781534,2.35
20260709,2605,13,"600,001-800,000",10.0,6750859,1.15
20260709,2605,14,"800,001-1,000,000",4.0,3671551,0.62
20260709,2605,15,"1,000,001以上",50.0,284945109,48.67
20260709,2605,16,差異數調整（說明4）,,-1820,-0.0
20260709,2605,17,合　計,107217.0,585353297,100.0
