as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,4304,1,1-999,2736,247503,0.4
20260709,4304,2,"1,000-5,000",504,1139305,1.86
20260709,4304,3,"5,001-10,000",123,993368,1.62
20260709,4304,4,"10,001-15,000",42,541868,0.88
20260709,4304,5,"15,001-20,000",24,438186,0.71
20260709,4304,6,"20,001-30,000",25,619449,1.01
20260709,4304,7,"30,001-40,000",19,671391,1.09
20260709,4304,8,"40,001-50,000",8,363113,0.59
20260709,4304,9,"50,001-100,000",27,2032333,3.32
20260709,4304,10,"100,001-200,000",11,1615158,2.64
20260709,4304,11,"200,001-400,000",9,2358910,3.86
20260709,4304,12,"400,001-600,000",5,2567915,4.2
20260709,4304,13,"600,001-800,000",3,1886042,3.08
20260709,4304,14,"800,001-1,000,000",0,0,0.0
20260709,4304,15,"1,000,001以上",7,45563524,74.64
20260709,4304,16,合　計,3543,61038065,100.0
