as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2904,1,1-999,12085,641548,0.82
20260709,2904,2,"1,000-5,000",3553,7647826,9.82
20260709,2904,3,"5,001-10,000",684,5173332,6.64
20260709,2904,4,"10,001-15,000",273,3388567,4.35
20260709,2904,5,"15,001-20,000",144,2578873,3.31
20260709,2904,6,"20,001-30,000",103,2596185,3.33
20260709,2904,7,"30,001-40,000",47,1660119,2.13
20260709,2904,8,"40,001-50,000",44,1986655,2.55
20260709,2904,9,"50,001-100,000",60,3972289,5.1
20260709,2904,10,"100,001-200,000",22,3156229,4.05
20260709,2904,11,"200,001-400,000",10,2789190,3.58
20260709,2904,12,"400,001-600,000",3,1716179,2.2
20260709,2904,13,"600,001-800,000",2,1477000,1.89
20260709,2904,14,"800,001-1,000,000",0,0,0.0
20260709,2904,15,"1,000,001以上",4,39050440,50.17
20260709,2904,16,合　計,17034,77834432,100.0
