as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6532,1,1-999,24615,351856,0.93
20260709,6532,2,"1,000-5,000",4951,9189461,24.54
20260709,6532,3,"5,001-10,000",462,3630278,9.69
20260709,6532,4,"10,001-15,000",121,1563223,4.17
20260709,6532,5,"15,001-20,000",78,1427600,3.81
20260709,6532,6,"20,001-30,000",58,1453325,3.88
20260709,6532,7,"30,001-40,000",28,993749,2.65
20260709,6532,8,"40,001-50,000",14,635207,1.69
20260709,6532,9,"50,001-100,000",27,2000159,5.34
20260709,6532,10,"100,001-200,000",9,1362050,3.63
20260709,6532,11,"200,001-400,000",9,2432410,6.49
20260709,6532,12,"400,001-600,000",6,2665356,7.11
20260709,6532,13,"600,001-800,000",4,2824527,7.54
20260709,6532,14,"800,001-1,000,000",0,0,0.0
20260709,6532,15,"1,000,001以上",4,6915946,18.46
20260709,6532,16,合　計,30386,37445147,100.0
