as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6835,1,1-999,430,43135,0.06
20260709,6835,2,"1,000-5,000",1350,2583489,3.9
20260709,6835,3,"5,001-10,000",187,1476815,2.23
20260709,6835,4,"10,001-15,000",58,760183,1.14
20260709,6835,5,"15,001-20,000",41,747152,1.12
20260709,6835,6,"20,001-30,000",32,813611,1.22
20260709,6835,7,"30,001-40,000",17,601548,0.9
20260709,6835,8,"40,001-50,000",13,599092,0.9
20260709,6835,9,"50,001-100,000",31,2333437,3.52
20260709,6835,10,"100,001-200,000",12,1608847,2.43
20260709,6835,11,"200,001-400,000",10,2729751,4.12
20260709,6835,12,"400,001-600,000",7,3333739,5.03
20260709,6835,13,"600,001-800,000",5,3246881,4.9
20260709,6835,14,"800,001-1,000,000",0,0,0.0
20260709,6835,15,"1,000,001以上",15,45294617,68.44
20260709,6835,16,合　計,2208,66172297,100.0
