as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,1338,1,1-999,49552,208664,0.24
20260709,1338,2,"1,000-5,000",4603,9698188,11.56
20260709,1338,3,"5,001-10,000",786,6221257,7.42
20260709,1338,4,"10,001-15,000",236,3040566,3.62
20260709,1338,5,"15,001-20,000",174,3209209,3.82
20260709,1338,6,"20,001-30,000",158,4064215,4.84
20260709,1338,7,"30,001-40,000",77,2696665,3.21
20260709,1338,8,"40,001-50,000",47,2172000,2.59
20260709,1338,9,"50,001-100,000",84,5980389,7.13
20260709,1338,10,"100,001-200,000",34,4728765,5.64
20260709,1338,11,"200,001-400,000",22,6180230,7.37
20260709,1338,12,"400,001-600,000",4,1856101,2.21
20260709,1338,13,"600,001-800,000",7,4842017,5.77
20260709,1338,14,"800,001-1,000,000",3,2655000,3.16
20260709,1338,15,"1,000,001以上",10,26286734,31.35
20260709,1338,16,合　計,55797,83840000,100.0
