as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,9918,1,1-999,23281,307222,0.17
20260709,9918,2,"1,000-5,000",1582,2914356,1.61
20260709,9918,3,"5,001-10,000",179,1380642,0.76
20260709,9918,4,"10,001-15,000",49,612133,0.33
20260709,9918,5,"15,001-20,000",40,710385,0.39
20260709,9918,6,"20,001-30,000",51,1288311,0.71
20260709,9918,7,"30,001-40,000",18,628805,0.34
20260709,9918,8,"40,001-50,000",30,1364617,0.75
20260709,9918,9,"50,001-100,000",45,3232739,1.79
20260709,9918,10,"100,001-200,000",40,5442342,3.01
20260709,9918,11,"200,001-400,000",34,9894040,5.48
20260709,9918,12,"400,001-600,000",14,6714469,3.71
20260709,9918,13,"600,001-800,000",8,5270352,2.91
20260709,9918,14,"800,001-1,000,000",2,1673294,0.92
20260709,9918,15,"1,000,001以上",25,139103746,77.04
20260709,9918,16,合　計,25398,180537453,100.0
