as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,1608,1,1-999,13253,2375978,0.37
20260709,1608,2,"1,000-5,000",31775,66098858,10.44
20260709,1608,3,"5,001-10,000",4550,37080383,5.85
20260709,1608,4,"10,001-15,000",1138,14606540,2.3
20260709,1608,5,"15,001-20,000",832,15653253,2.47
20260709,1608,6,"20,001-30,000",647,16785404,2.65
20260709,1608,7,"30,001-40,000",266,9569759,1.51
20260709,1608,8,"40,001-50,000",201,9501682,1.5
20260709,1608,9,"50,001-100,000",297,21563189,3.4
20260709,1608,10,"100,001-200,000",119,17105847,2.7
20260709,1608,11,"200,001-400,000",55,15525099,2.45
20260709,1608,12,"400,001-600,000",21,10058942,1.58
20260709,1608,13,"600,001-800,000",8,5487724,0.86
20260709,1608,14,"800,001-1,000,000",10,8936499,1.41
20260709,1608,15,"1,000,001以上",20,382424349,60.43
20260709,1608,16,合　計,53192,632773506,100.0
