as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,7821,1,1-999,6292,809155,0.66
20260709,7821,2,"1,000-5,000",3146,5767666,4.73
20260709,7821,3,"5,001-10,000",302,2393767,1.96
20260709,7821,4,"10,001-15,000",117,1491520,1.22
20260709,7821,5,"15,001-20,000",58,1067909,0.87
20260709,7821,6,"20,001-30,000",54,1378907,1.13
20260709,7821,7,"30,001-40,000",30,1092307,0.89
20260709,7821,8,"40,001-50,000",19,900008,0.73
20260709,7821,9,"50,001-100,000",27,1934427,1.58
20260709,7821,10,"100,001-200,000",18,2415206,1.98
20260709,7821,11,"200,001-400,000",14,3930330,3.22
20260709,7821,12,"400,001-600,000",4,2103645,1.72
20260709,7821,13,"600,001-800,000",3,2239825,1.83
20260709,7821,14,"800,001-1,000,000",3,2763000,2.26
20260709,7821,15,"1,000,001以上",10,91625628,75.15
20260709,7821,16,合　計,10097,121913300,100.0
