as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,5285,1,1-999,3248,505017,0.49
20260709,5285,2,"1,000-5,000",8873,14815799,14.51
20260709,5285,3,"5,001-10,000",562,4566248,4.47
20260709,5285,4,"10,001-15,000",140,1803825,1.76
20260709,5285,5,"15,001-20,000",93,1767872,1.73
20260709,5285,6,"20,001-30,000",73,1897120,1.85
20260709,5285,7,"30,001-40,000",30,1068650,1.04
20260709,5285,8,"40,001-50,000",14,624773,0.61
20260709,5285,9,"50,001-100,000",41,3065042,3.0
20260709,5285,10,"100,001-200,000",31,4448176,4.35
20260709,5285,11,"200,001-400,000",13,3572844,3.5
20260709,5285,12,"400,001-600,000",4,1870094,1.83
20260709,5285,13,"600,001-800,000",11,7694989,7.54
20260709,5285,14,"800,001-1,000,000",4,3739946,3.66
20260709,5285,15,"1,000,001以上",17,50600531,49.58
20260709,5285,16,合　計,13154,102040926,100.0
