as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2344,1,1-999,224058.0,41644296,0.92
20260709,2344,2,"1,000-5,000",272415.0,505458932,11.19
20260709,2344,3,"5,001-10,000",25179.0,193456447,4.28
20260709,2344,4,"10,001-15,000",7088.0,89185715,1.97
20260709,2344,5,"15,001-20,000",3827.0,70329106,1.55
20260709,2344,6,"20,001-30,000",3125.0,78729220,1.74
20260709,2344,7,"30,001-40,000",1417.0,50165561,1.11
20260709,2344,8,"40,001-50,000",860.0,39827785,0.88
20260709,2344,9,"50,001-100,000",1437.0,101734719,2.25
20260709,2344,10,"100,001-200,000",663.0,92313165,2.04
20260709,2344,11,"200,001-400,000",343.0,95869037,2.12
20260709,2344,12,"400,001-600,000",116.0,58184579,1.28
20260709,2344,13,"600,001-800,000",61.0,41963170,0.92
20260709,2344,14,"800,001-1,000,000",38.0,34517546,0.76
20260709,2344,15,"1,000,001以上",256.0,3022623832,66.93
20260709,2344,16,差異數調整（說明4）,,-10000,-0.0
20260709,2344,17,合　計,540883.0,4515993110,100.0
