as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,1591,1,1-999,28636,160645,0.42
20260709,1591,2,"1,000-5,000",2462,5024814,13.2
20260709,1591,3,"5,001-10,000",415,3229088,8.48
20260709,1591,4,"10,001-15,000",153,1989581,5.22
20260709,1591,5,"15,001-20,000",98,1805447,4.74
20260709,1591,6,"20,001-30,000",106,2657998,6.98
20260709,1591,7,"30,001-40,000",58,2069933,5.44
20260709,1591,8,"40,001-50,000",42,1947000,5.11
20260709,1591,9,"50,001-100,000",63,4535928,11.92
20260709,1591,10,"100,001-200,000",18,2537963,6.67
20260709,1591,11,"200,001-400,000",12,3803264,9.99
20260709,1591,12,"400,001-600,000",7,3510228,9.22
20260709,1591,13,"600,001-800,000",1,635001,1.66
20260709,1591,14,"800,001-1,000,000",1,891000,2.34
20260709,1591,15,"1,000,001以上",1,3250157,8.54
20260709,1591,16,合　計,32073,38048047,100.0
