as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,1476,1,1-999,11580,1778876,0.64
20260709,1476,2,"1,000-5,000",6740,12089513,4.4
20260709,1476,3,"5,001-10,000",575,4381973,1.59
20260709,1476,4,"10,001-15,000",159,2019732,0.73
20260709,1476,5,"15,001-20,000",116,2085795,0.76
20260709,1476,6,"20,001-30,000",107,2638210,0.96
20260709,1476,7,"30,001-40,000",56,1979779,0.72
20260709,1476,8,"40,001-50,000",36,1641263,0.59
20260709,1476,9,"50,001-100,000",68,4579188,1.66
20260709,1476,10,"100,001-200,000",52,7255387,2.64
20260709,1476,11,"200,001-400,000",46,13142265,4.79
20260709,1476,12,"400,001-600,000",14,6601022,2.4
20260709,1476,13,"600,001-800,000",7,4822121,1.75
20260709,1476,14,"800,001-1,000,000",7,6194867,2.25
20260709,1476,15,"1,000,001以上",50,203157120,74.04
20260709,1476,16,合　計,19613,274367111,100.0
