as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,4924,1,1-999,548,21283,0.05
20260709,4924,2,"1,000-5,000",562,1162831,3.12
20260709,4924,3,"5,001-10,000",119,994172,2.67
20260709,4924,4,"10,001-15,000",33,434000,1.16
20260709,4924,5,"15,001-20,000",25,453000,1.21
20260709,4924,6,"20,001-30,000",32,796065,2.14
20260709,4924,7,"30,001-40,000",21,774689,2.08
20260709,4924,8,"40,001-50,000",7,313000,0.84
20260709,4924,9,"50,001-100,000",23,1673001,4.5
20260709,4924,10,"100,001-200,000",13,1698334,4.56
20260709,4924,11,"200,001-400,000",9,2466098,6.63
20260709,4924,12,"400,001-600,000",3,1460085,3.92
20260709,4924,13,"600,001-800,000",3,1954000,5.25
20260709,4924,14,"800,001-1,000,000",2,1912282,5.14
20260709,4924,15,"1,000,001以上",10,21051569,56.64
20260709,4924,16,合　計,1410,37164409,100.0
