as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,4523,1,1-999,32263,169113,0.26
20260709,4523,2,"1,000-5,000",2653,5484778,8.44
20260709,4523,3,"5,001-10,000",418,3310186,5.09
20260709,4523,4,"10,001-15,000",125,1672732,2.57
20260709,4523,5,"15,001-20,000",81,1491350,2.29
20260709,4523,6,"20,001-30,000",75,1916077,2.95
20260709,4523,7,"30,001-40,000",42,1502693,2.31
20260709,4523,8,"40,001-50,000",28,1297855,1.99
20260709,4523,9,"50,001-100,000",49,3686095,5.67
20260709,4523,10,"100,001-200,000",19,2608294,4.01
20260709,4523,11,"200,001-400,000",11,3070687,4.72
20260709,4523,12,"400,001-600,000",7,3307110,5.09
20260709,4523,13,"600,001-800,000",0,0,0.0
20260709,4523,14,"800,001-1,000,000",2,1772373,2.72
20260709,4523,15,"1,000,001以上",9,33659657,51.82
20260709,4523,16,合　計,35782,64949000,100.0
