as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2450,1,1-999,6296,1011321,0.39
20260709,2450,2,"1,000-5,000",8986,18159709,7.03
20260709,2450,3,"5,001-10,000",1223,9749477,3.77
20260709,2450,4,"10,001-15,000",334,4314335,1.67
20260709,2450,5,"15,001-20,000",191,3528093,1.36
20260709,2450,6,"20,001-30,000",175,4568826,1.76
20260709,2450,7,"30,001-40,000",96,3374039,1.3
20260709,2450,8,"40,001-50,000",53,2462050,0.95
20260709,2450,9,"50,001-100,000",62,4306305,1.66
20260709,2450,10,"100,001-200,000",33,4287254,1.66
20260709,2450,11,"200,001-400,000",12,3037273,1.17
20260709,2450,12,"400,001-600,000",3,1612144,0.62
20260709,2450,13,"600,001-800,000",1,743420,0.28
20260709,2450,14,"800,001-1,000,000",1,885962,0.34
20260709,2450,15,"1,000,001以上",14,196212449,75.97
20260709,2450,16,合　計,17480,258252657,100.0
