as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,8927,1,1-999,20511,579662,0.13
20260709,8927,2,"1,000-5,000",3387,7623590,1.81
20260709,8927,3,"5,001-10,000",788,5937142,1.41
20260709,8927,4,"10,001-15,000",320,3929137,0.93
20260709,8927,5,"15,001-20,000",222,3959488,0.94
20260709,8927,6,"20,001-30,000",207,5177546,1.23
20260709,8927,7,"30,001-40,000",91,3154454,0.75
20260709,8927,8,"40,001-50,000",50,2275034,0.54
20260709,8927,9,"50,001-100,000",156,10985160,2.62
20260709,8927,10,"100,001-200,000",81,11461385,2.73
20260709,8927,11,"200,001-400,000",52,14804903,3.53
20260709,8927,12,"400,001-600,000",34,16479187,3.93
20260709,8927,13,"600,001-800,000",18,12296757,2.93
20260709,8927,14,"800,001-1,000,000",11,9907213,2.36
20260709,8927,15,"1,000,001以上",50,310497709,74.09
20260709,8927,16,合　計,25978,419068367,100.0
