as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,8416,1,1-999,889,110625,0.39
20260709,8416,2,"1,000-5,000",972,1682866,5.96
20260709,8416,3,"5,001-10,000",104,744665,2.63
20260709,8416,4,"10,001-15,000",38,465887,1.65
20260709,8416,5,"15,001-20,000",13,222500,0.78
20260709,8416,6,"20,001-30,000",18,466100,1.65
20260709,8416,7,"30,001-40,000",8,281800,0.99
20260709,8416,8,"40,001-50,000",3,141000,0.49
20260709,8416,9,"50,001-100,000",9,603602,2.13
20260709,8416,10,"100,001-200,000",7,947000,3.35
20260709,8416,11,"200,001-400,000",3,788961,2.79
20260709,8416,12,"400,001-600,000",0,0,0.0
20260709,8416,13,"600,001-800,000",0,0,0.0
20260709,8416,14,"800,001-1,000,000",0,0,0.0
20260709,8416,15,"1,000,001以上",7,21755704,77.11
20260709,8416,16,合　計,2071,28210710,100.0
