as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,4583,1,1-999,5259,504920,0.62
20260709,4583,2,"1,000-5,000",1531,2499122,3.11
20260709,4583,3,"5,001-10,000",86,656713,0.81
20260709,4583,4,"10,001-15,000",26,333241,0.41
20260709,4583,5,"15,001-20,000",14,251221,0.31
20260709,4583,6,"20,001-30,000",13,328292,0.4
20260709,4583,7,"30,001-40,000",10,341579,0.42
20260709,4583,8,"40,001-50,000",6,275963,0.34
20260709,4583,9,"50,001-100,000",8,557020,0.69
20260709,4583,10,"100,001-200,000",10,1445180,1.8
20260709,4583,11,"200,001-400,000",11,3229799,4.02
20260709,4583,12,"400,001-600,000",2,914017,1.14
20260709,4583,13,"600,001-800,000",2,1432173,1.78
20260709,4583,14,"800,001-1,000,000",2,1794000,2.23
20260709,4583,15,"1,000,001以上",4,65608111,81.83
20260709,4583,16,合　計,6984,80171351,100.0
