as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,2838,1,1-999,15850,3856242,0.08
20260709,2838,2,"1,000-5,000",18172,40013992,0.92
20260709,2838,3,"5,001-10,000",4663,34019578,0.78
20260709,2838,4,"10,001-15,000",2478,30270987,0.69
20260709,2838,5,"15,001-20,000",1571,27706807,0.63
20260709,2838,6,"20,001-30,000",2037,47545475,1.09
20260709,2838,7,"30,001-40,000",727,25123779,0.57
20260709,2838,8,"40,001-50,000",458,20392972,0.46
20260709,2838,9,"50,001-100,000",832,58044991,1.33
20260709,2838,10,"100,001-200,000",427,58590785,1.34
20260709,2838,11,"200,001-400,000",199,54268969,1.25
20260709,2838,12,"400,001-600,000",73,35410153,0.81
20260709,2838,13,"600,001-800,000",24,16264034,0.37
20260709,2838,14,"800,001-1,000,000",25,22477502,0.51
20260709,2838,15,"1,000,001以上",129,3866565513,89.08
20260709,2838,16,合　計,47665,4340551779,100.0
