as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,1558,1,1-999,21736,450062,0.69
20260709,1558,2,"1,000-5,000",5135,10249233,15.88
20260709,1558,3,"5,001-10,000",731,5421084,8.4
20260709,1558,4,"10,001-15,000",239,2981376,4.61
20260709,1558,5,"15,001-20,000",126,2249805,3.48
20260709,1558,6,"20,001-30,000",115,2779977,4.3
20260709,1558,7,"30,001-40,000",67,2308542,3.57
20260709,1558,8,"40,001-50,000",24,1050323,1.62
20260709,1558,9,"50,001-100,000",61,4202166,6.51
20260709,1558,10,"100,001-200,000",29,3917371,6.07
20260709,1558,11,"200,001-400,000",25,6519150,10.1
20260709,1558,12,"400,001-600,000",12,6019403,9.32
20260709,1558,13,"600,001-800,000",10,7053998,10.93
20260709,1558,14,"800,001-1,000,000",3,2744702,4.25
20260709,1558,15,"1,000,001以上",5,6588439,10.2
20260709,1558,16,合　計,28318,64535631,100.0
