as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6203,1,1-999,2342,437733,0.53
20260709,6203,2,"1,000-5,000",6495,12725396,15.44
20260709,6203,3,"5,001-10,000",687,5325867,6.46
20260709,6203,4,"10,001-15,000",220,2839508,3.44
20260709,6203,5,"15,001-20,000",116,2092278,2.53
20260709,6203,6,"20,001-30,000",78,2001947,2.42
20260709,6203,7,"30,001-40,000",48,1716815,2.08
20260709,6203,8,"40,001-50,000",13,581940,0.7
20260709,6203,9,"50,001-100,000",35,2457203,2.98
20260709,6203,10,"100,001-200,000",12,1964232,2.38
20260709,6203,11,"200,001-400,000",6,1472430,1.78
20260709,6203,12,"400,001-600,000",6,2960759,3.59
20260709,6203,13,"600,001-800,000",4,2803009,3.4
20260709,6203,14,"800,001-1,000,000",0,0,0.0
20260709,6203,15,"1,000,001以上",6,43022253,52.21
20260709,6203,16,合　計,10068,82401370,100.0
