as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,6944,1,1-999,9904,1146691,1.49
20260709,6944,2,"1,000-5,000",3179,5472875,7.13
20260709,6944,3,"5,001-10,000",284,2132175,2.78
20260709,6944,4,"10,001-15,000",106,1344372,1.75
20260709,6944,5,"15,001-20,000",64,1149867,1.49
20260709,6944,6,"20,001-30,000",81,1995311,2.6
20260709,6944,7,"30,001-40,000",36,1284834,1.67
20260709,6944,8,"40,001-50,000",26,1174609,1.53
20260709,6944,9,"50,001-100,000",83,6055094,7.89
20260709,6944,10,"100,001-200,000",42,5872603,7.65
20260709,6944,11,"200,001-400,000",35,9986578,13.02
20260709,6944,12,"400,001-600,000",13,6749128,8.8
20260709,6944,13,"600,001-800,000",6,4136327,5.39
20260709,6944,14,"800,001-1,000,000",2,1819779,2.37
20260709,6944,15,"1,000,001以上",12,26367669,34.38
20260709,6944,16,合　計,13873,76687912,100.0
