as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20260709,8028,1,1-999,43826,3008694,1.63
20260709,8028,2,"1,000-5,000",19329,31972270,17.38
20260709,8028,3,"5,001-10,000",1295,9761530,5.3
20260709,8028,4,"10,001-15,000",361,4526617,2.46
20260709,8028,5,"15,001-20,000",200,3605572,1.96
20260709,8028,6,"20,001-30,000",152,3821158,2.07
20260709,8028,7,"30,001-40,000",73,2595150,1.41
20260709,8028,8,"40,001-50,000",40,1850662,1.0
20260709,8028,9,"50,001-100,000",95,6707696,3.64
20260709,8028,10,"100,001-200,000",70,10320597,5.61
20260709,8028,11,"200,001-400,000",35,10750744,5.84
20260709,8028,12,"400,001-600,000",25,13086223,7.11
20260709,8028,13,"600,001-800,000",13,9276847,5.04
20260709,8028,14,"800,001-1,000,000",2,1845364,1.0
20260709,8028,15,"1,000,001以上",28,70826096,38.5
20260709,8028,16,合　計,65544,183955220,100.0
